idx,Run0
0,0.0
10000,0.0
20000,0.0
30000,0.0
40000,0.0
50000,0.0
60000,0.0
70000,0.03333333333333333
80000,0.06666666666666667
90000,0.06666666666666667
100000,0.13333333333333333
110000,0.16666666666666666
120000,0.13333333333333333
130000,0.23333333333333334
140000,0.1
150000,0.16666666666666666
160000,0.26666666666666666
170000,0.1
180000,0.06666666666666667
190000,0.2
200000,0.2
210000,0.13333333333333333
220000,0.13333333333333333
230000,0.23333333333333334
240000,0.23333333333333334
250000,0.13333333333333333
260000,0.0
270000,0.23333333333333334
280000,0.3
290000,0.23333333333333334
300000,0.2
310000,0.23333333333333334
320000,0.2
330000,0.26666666666666666
340000,0.26666666666666666
350000,0.4666666666666667
360000,0.43333333333333335
370000,0.03333333333333333
380000,0.5
390000,0.4666666666666667
400000,0.36666666666666664
410000,0.43333333333333335
420000,0.3333333333333333
430000,0.36666666666666664
440000,0.26666666666666666
450000,0.4
460000,0.26666666666666666
470000,0.3333333333333333
480000,0.23333333333333334
490000,0.3333333333333333
500000,0.4
