idx,Run0,Run1,Run2,Run3,Run4
0,0.7,1.0,1.0,1.0,1.0
10000,1.0,1.0,1.0,1.0,1.0
20000,1.0,1.0,0.8666666666666667,0.8333333333333334,1.0
30000,1.0,0.8,0.8666666666666667,0.8666666666666667,1.0
40000,1.0,1.0,1.0,0.8333333333333334,1.0
50000,1.0,1.0,0.7666666666666667,0.6333333333333333,0.8666666666666667
60000,0.7333333333333333,0.9,0.8666666666666667,1.0,1.0
70000,1.0,0.7666666666666667,1.0,0.8333333333333334,0.7666666666666667
80000,0.8666666666666667,1.0,0.8666666666666667,0.8333333333333334,1.0
90000,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.6333333333333333,0.8333333333333334
100000,0.7,0.5666666666666667,0.7,0.7666666666666667,1.0
110000,0.7666666666666667,0.7,0.43333333333333335,0.6,0.4666666666666667
120000,0.8,0.7666666666666667,0.8333333333333334,0.7,0.7
130000,1.0,0.5,0.7666666666666667,0.6333333333333333,0.5
140000,0.7666666666666667,0.2,0.6,0.5666666666666667,0.3333333333333333
150000,0.6,0.26666666666666666,0.5666666666666667,0.5666666666666667,0.4
160000,0.6333333333333333,0.8666666666666667,0.7,0.23333333333333334,0.7
170000,0.26666666666666666,0.3,0.5666666666666667,0.7,0.5666666666666667
180000,0.4666666666666667,0.26666666666666666,0.5666666666666667,0.4666666666666667,0.5666666666666667
190000,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.0,0.3333333333333333
200000,0.2,0.4,0.8,0.4,0.43333333333333335
210000,0.4,0.5666666666666667,0.1,0.5,0.2
220000,0.43333333333333335,0.1,0.4,0.26666666666666666,0.43333333333333335
230000,0.26666666666666666,0.06666666666666667,0.2,0.43333333333333335,0.2
240000,0.7,0.0,0.4,0.2,0.23333333333333334
250000,0.6333333333333333,0.3333333333333333,0.23333333333333334,0.3,0.3333333333333333
260000,0.26666666666666666,0.0,0.2,0.06666666666666667,0.2
270000,0.36666666666666664,0.1,0.0,0.2,0.3
280000,0.3,0.3333333333333333,0.2,0.0,0.26666666666666666
290000,0.2,0.0,0.0,0.13333333333333333,0.0
300000,0.9,0.36666666666666664,0.0,0.0,0.8666666666666667
310000,0.4,0.3,0.0,0.13333333333333333,0.0
320000,0.7666666666666667,0.0,0.2,0.7333333333333333,0.13333333333333333
330000,0.06666666666666667,0.0,0.13333333333333333,0.2,0.16666666666666666
340000,0.1,0.0,0.0,0.13333333333333333,0.3
350000,0.3333333333333333,0.0,0.0,0.0,0.13333333333333333
360000,0.4666666666666667,0.0,0.0,0.26666666666666666,0.6333333333333333
370000,0.0,0.06666666666666667,0.0,0.0,0.0
380000,0.26666666666666666,0.0,0.0,0.13333333333333333,0.0
390000,0.0,0.0,0.0,0.0,0.1
400000,0.2,0.0,0.2,0.13333333333333333,0.0
410000,0.16666666666666666,0.0,0.0,0.0,0.0
420000,0.3333333333333333,0.16666666666666666,0.3,0.0,0.2
430000,0.26666666666666666,0.2,0.06666666666666667,0.0,0.0
440000,0.0,0.26666666666666666,0.0,0.13333333333333333,0.0
450000,0.2,0.1,0.0,0.0,0.0
460000,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333
470000,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333
480000,0.0,0.13333333333333333,0.0,0.0,0.2
490000,0.0,0.06666666666666667,0.0,0.0,0.0
500000,0.0,0.0,0.0,0.0,0.0
500000,0.0,0.0,0.0,0.0,0.0
