train/critic_loss,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,time/episodes,time/fps
62.19369125366211,244,0.0,-60.66151625,0.0005,-27.267276763916016,-0.188996359705925,61.0,44,0.9381917715072632,143,4,5
8.562638282775879,378,0.0,-53.041168,0.0005,-18.122549057006836,-0.3926873803138733,47.25,47,0.8781993389129639,277,8,7
41.749595642089844,566,0.0,-54.16285833333333,0.0005,-20.380512237548828,-0.5257198810577393,47.166666666666664,52,0.8008719086647034,465,12,10
106.4127197265625,646,0.0,-51.325569125,0.0005,-125.43537902832031,-0.3293878436088562,40.375,54,0.7776530385017395,545,16,11
1056.8170166015625,721,0.0,-49.447462200000004,0.0005,-324.3870849609375,0.0010700765997171402,36.05,55,0.7713334560394287,620,20,12
49240.01953125,770,0.0,-47.013568416666665,0.0005,-1809.52099609375,0.7390617728233337,32.083333333333336,57,0.787754476070404,669,24,13
927.30224609375,962,0.0,-48.28514917857143,0.0005,279.8305969238281,-0.22366395592689514,34.357142857142854,62,0.7844197154045105,861,28,15
433.75665283203125,1049,0.0,-47.511520625,0.0005,198.94482421875,-0.2324618697166443,32.78125,64,0.7720357179641724,948,32,16
349.68896484375,1105,0.0,-46.69575444444445,0.0005,145.60467529296875,-0.24601171910762787,30.694444444444443,65,0.7635292410850525,1004,36,16
100.6021728515625,1219,0.0,-46.521534625,0.0005,83.52525329589844,-0.5564621686935425,30.475,68,0.7388657331466675,1118,40,17
69.366943359375,1326,0.0,-46.51672622727273,0.0005,58.35988235473633,-0.6411583423614502,30.136363636363637,70,0.7065603137016296,1225,44,18
26.638357162475586,1445,0.0,-46.848538,0.0005,41.701133728027344,-0.7566486597061157,30.104166666666668,73,0.6675803661346436,1344,48,19
11.184898376464844,1543,0.0,-46.6629094423077,0.0005,41.06441879272461,-1.0033652782440186,29.673076923076923,76,0.6339098215103149,1442,52,20
22.185035705566406,1616,0.0,-46.18827546428572,0.0005,38.97483444213867,-1.099772334098816,28.857142857142858,78,0.6098612546920776,1515,56,20
6.696232795715332,1859,0.0,-46.72754153333334,0.0005,37.476097106933594,-1.4004770517349243,30.983333333333334,84,0.5363237261772156,1758,60,21
8.776226043701172,1994,0.0,-47.016758953125,0.0005,39.317359924316406,-1.361661434173584,31.15625,88,0.5015792846679688,1893,64,22
7.8288044929504395,2118,0.0,-47.26657317647059,0.0005,38.43665313720703,-1.4767134189605713,31.147058823529413,92,0.47402629256248474,2017,68,23
8.464082717895508,2220,0.0,-47.44314484722222,0.0005,38.9188232421875,-1.3532381057739258,30.833333333333332,94,0.45320242643356323,2119,72,23
5.224545478820801,2572,0.0,-49.113535776315786,0.0005,37.00680923461914,-1.4519978761672974,33.8421052631579,103,0.3937523066997528,2471,76,24
5.205607891082764,2758,0.0,-49.2718263375,0.0005,38.19185256958008,-1.3089394569396973,34.475,108,0.36601749062538147,2657,80,25
2.9060282707214355,2914,0.0,-49.25323147619048,0.0005,39.29608154296875,-1.5437126159667969,34.69047619047619,112,0.34453409910202026,2813,84,25
4.1315202713012695,3524,0.0,-51.43770080681818,0.0005,43.36414337158203,-1.7423762083053589,40.04545454545455,129,0.2685019373893738,3423,88,27
5.3523268699646,3598,0.0,-51.261910891304346,0.0005,43.06407165527344,-1.776292324066162,39.108695652173914,131,0.2604728639125824,3497,92,27
3.7719321250915527,3776,0.0,-51.526325843749994,0.0005,43.41094970703125,-1.589267611503601,39.333333333333336,135,0.24205507338047028,3675,96,27
8.812540054321289,3991,0.0,-51.70459019,0.0005,42.59483337402344,-1.878363013267517,39.91,141,0.22152844071388245,3890,100,28
5.960559844970703,4057,0.0,-50.96106069,0.0005,43.05937957763672,-1.9502208232879639,38.13,144,0.21551601588726044,3956,104,28
6.34672737121582,4184,0.0,-51.19035067,0.0005,42.1475944519043,-2.0987818241119385,38.06,147,0.20416273176670074,4083,108,28
4.1918182373046875,4291,0.0,-50.963069029999986,0.0005,42.90591812133789,-2.108431339263916,37.25,150,0.19492924213409424,4190,112,28
4.883718490600586,4399,0.0,-51.16114734999999,0.0005,42.89753723144531,-1.8569992780685425,37.53,153,0.18588151037693024,4298,116,28
7.769399166107178,4517,0.0,-51.2407642,0.0005,42.632972717285156,-2.1581897735595703,37.96,156,0.17675204575061798,4416,120,28
