rollout/success_rate,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps
0.0,0.0005,-61.32748074999999,0.9477699995040894,47,4,-3.897731304168701,-0.17944878339767456,4,44.23176574707031,52.25,108,209
0.0,0.0005,-58.381718750000005,0.8794109225273132,51,7,-19.78767204284668,-0.3717326521873474,8,43.40652084350586,46.25,269,370
0.0,0.0005,-56.04451366666667,0.8154504299163818,55,9,-10.219198226928711,-0.6147665977478027,12,26.41189193725586,43.583333333333336,422,523
0.0,0.0005,-56.981571187499995,0.7351208329200745,61,11,26.463260650634766,-0.9311296939849854,16,30.39598846435547,45.5,627,728
0.0,0.0005,-55.72938224999999,0.6974721550941467,64,12,16.766151428222656,-1.0890045166015625,20,8.71799087524414,41.8,735,836
0.0,0.0005,-56.80852266666667,0.6025051474571228,73,15,4.730534553527832,-1.3932044506072998,24,16.815439224243164,48.0,1051,1152
0.0,0.0005,-58.015674464285716,0.5146893858909607,82,17,3.5470335483551025,-1.951456069946289,28,6.358403205871582,53.0,1383,1484
0.0,0.0005,-58.613907187500004,0.4507167935371399,90,19,11.050117492675781,-2.4250197410583496,32,3.8446710109710693,54.71875,1650,1751
0.0,0.0005,-64.47220830555557,0.3185526430606842,109,22,28.755680084228516,-3.3714723587036133,36,0.4733162522315979,67.97222222222223,2346,2447
0.0,0.0005,-62.529105275000006,0.3036968410015106,112,22,39.42641830444336,-3.663820743560791,40,1.0225898027420044,63.525,2440,2541
0.0,0.0005,-61.211969227272725,0.27846500277519226,116,23,35.82705307006836,-3.6689629554748535,44,0.4772936701774597,61.63636363636363,2611,2712
0.0,0.0005,-59.1655359375,0.26654452085494995,119,23,36.78606414794922,-3.9735300540924072,48,0.490580290555954,58.354166666666664,2700,2801
0.0,0.0005,-57.677734538461536,0.25363558530807495,121,23,34.807857513427734,-3.880112648010254,52,0.3617422878742218,55.78846153846154,2800,2901
0.0,0.0005,-56.101208375,0.2436002790927887,123,24,33.46916961669922,-3.8906102180480957,56,0.4271441698074341,53.30357142857143,2884,2985
0.0,0.0005,-55.225738383333336,0.23253296315670013,126,24,32.33845520019531,-3.701552391052246,60,0.1971278190612793,51.416666666666664,2984,3085
0.0,0.0005,-54.274182140625,0.22387456893920898,128,24,34.33184814453125,-3.8038806915283203,64,0.2803318500518799,49.5,3067,3168
0.0,0.0005,-53.09544367647058,0.2143600881099701,131,24,33.499595642089844,-4.136743068695068,68,0.24444304406642914,47.98529411764706,3162,3263
0.013888888888888888,0.0005,-51.825994819444446,0.20554094016551971,134,25,33.802764892578125,-3.9291958808898926,72,0.2270716428756714,46.611111111111114,3255,3356
0.013157894736842105,0.0005,-51.063073026315784,0.1972683072090149,136,25,31.826568603515625,-3.956348419189453,76,0.2403203845024109,45.35526315789474,3346,3447
0.0125,0.0005,-50.62746919999999,0.19042672216892242,138,25,33.46954345703125,-3.9537272453308105,80,0.4687918424606323,44.0875,3426,3527
0.011904761904761904,0.0005,-50.115518238095234,0.18458974361419678,140,25,33.50823211669922,-4.271176338195801,84,0.4151400625705719,42.833333333333336,3497,3598
0.011363636363636364,0.0005,-49.652311477272725,0.17900004982948303,142,25,34.79705047607422,-4.375235080718994,88,0.40136396884918213,41.67045454545455,3566,3667
0.010869565217391304,0.0005,-49.17552126086955,0.17338436841964722,144,25,34.37071228027344,-4.35494327545166,92,0.2175779938697815,40.630434782608695,3637,3738
0.010416666666666666,0.0005,-48.72615309375001,0.16855189204216003,146,25,32.871246337890625,-3.7577202320098877,96,0.20775985717773438,39.614583333333336,3702,3803
0.02,0.0005,-48.06190284,0.16260680556297302,148,26,31.71050453186035,-4.174752235412598,100,0.1862417757511139,38.88,3787,3888
0.02,0.0005,-47.26426219999999,0.1582716703414917,150,26,32.652984619140625,-3.632098436355591,104,0.1755642294883728,37.44,3852,3953
0.02,0.0005,-46.64452234,0.15334782004356384,152,26,35.09845733642578,-4.094644069671631,108,2.0998353958129883,36.59,3928,4029
0.03,0.0005,-45.74528195,0.14939281344413757,154,26,33.41551208496094,-4.273993968963623,112,0.3449568748474121,35.7,3992,4093
0.03,0.0005,-44.94424258,0.1453244984149933,155,26,33.08045196533203,-4.248852729797363,116,0.3436686396598816,34.32,4059,4160
0.03,0.0005,-44.43770488999999,0.1414988785982132,157,26,33.285423278808594,-4.175509452819824,120,0.34220463037490845,33.9,4125,4226
0.03,0.0005,-43.392963580000014,0.13815642893314362,159,26,32.32429122924805,-3.1776585578918457,124,0.6626148223876953,31.34,4185,4286
0.03,0.0005,-42.29794620999999,0.13494780659675598,160,27,33.45805740356445,-4.212571144104004,128,0.38140857219696045,28.63,4246,4347
0.03,0.0005,-41.252835989999994,0.13180583715438843,162,27,34.016117095947266,-4.002255916595459,132,0.24779973924160004,26.55,4305,4406
0.04,0.0005,-37.9096962,0.12822484970092773,164,27,33.46554183959961,-3.2346997261047363,136,0.6191518306732178,20.3,4376,4477
0.05,0.0005,-37.241898340000006,0.12528705596923828,166,27,30.17987632751465,-2.980569839477539,140,0.601314902305603,19.99,4439,4540
0.05,0.0005,-36.538131750000005,0.12282227724790573,167,27,30.452926635742188,-3.2116212844848633,144,1.1528594493865967,18.87,4498,4599
0.06,0.0005,-36.27215589,0.12007274478673935,169,27,31.207046508789062,-2.9508070945739746,148,0.569762110710144,18.63,4563,4664
0.06,0.0005,-36.04036911,0.11730720102787018,171,27,31.417694091796875,-2.8521251678466797,152,0.4553930163383484,18.26,4626,4727
0.06,0.0005,-36.0424055,0.11500390619039536,172,27,31.603458404541016,-3.4781360626220703,156,0.5788757801055908,18.02,4686,4787
0.07,0.0005,-35.38797124,0.11217993497848511,174,27,30.637569427490234,-3.7559282779693604,160,2.02006196975708,17.73,4757,4858
0.07,0.0005,-34.97997226,0.10969828814268112,176,27,28.574230194091797,-2.571317672729492,164,1.375327706336975,17.56,4823,4924
0.07,0.0005,-34.727041650000004,0.10743868350982666,178,27,33.47608947753906,-4.210707664489746,168,1.0711007118225098,17.28,4890,4991
0.07,0.0005,-34.58941858,0.10448875278234482,180,28,30.904953002929688,-2.8200244903564453,172,0.5025138258934021,17.18,4973,5074
0.07,0.0005,-34.476694390000006,0.10239855200052261,182,28,31.022701263427734,-3.3244402408599854,176,0.6585718393325806,16.86,5032,5133
0.07,0.0005,-34.12042008,0.09989552944898605,184,28,30.767372131347656,-3.4938650131225586,180,1.9703539609909058,16.82,5108,5209
0.08,0.0005,-33.482066010000004,0.0977364256978035,185,28,31.93338966369629,-3.4653401374816895,184,1.1022999286651611,16.78,5175,5276
0.08,0.0005,-33.11683444000001,0.09517884254455566,188,28,28.45982551574707,-1.1664785146713257,188,0.8370245099067688,16.91,5257,5358
0.08,0.0005,-32.85030986000001,0.09335774183273315,189,28,30.931438446044922,-2.8882381916046143,192,0.44659215211868286,16.84,5321,5422
0.09,0.0005,-32.43661401,0.09145397692918777,191,28,32.083900451660156,-3.5072662830352783,196,0.8532252311706543,16.81,5383,5484
0.09,0.0005,-32.333518250000004,0.08991029113531113,192,28,28.931930541992188,-0.9378340244293213,200,0.8597816228866577,16.52,5439,5540
0.11,0.0005,-31.537494530000004,0.08832729607820511,194,28,29.13465118408203,-3.156332015991211,204,1.627070665359497,16.46,5498,5599
0.11,0.0005,-31.32483622,0.08692394942045212,195,28,29.017684936523438,-2.974930763244629,208,1.099381685256958,16.24,5552,5653
0.1,0.0005,-31.332910229999992,0.0852702409029007,197,28,29.22806167602539,-2.202951431274414,212,0.582599401473999,16.29,5621,5722
0.1,0.0005,-31.122327839999997,0.08414650708436966,199,28,29.643043518066406,-3.3368656635284424,216,1.0252907276153564,16.16,5675,5776
0.1,0.0005,-30.958188409999995,0.0826270803809166,200,29,27.233478546142578,-0.9193086624145508,220,1.806372046470642,16.07,5732,5833
0.1,0.0005,-30.622413499999997,0.08119256794452667,202,29,30.661401748657227,-2.6243042945861816,224,1.752307415008545,16.14,5799,5900
0.1,0.0005,-30.2890133,0.07937353104352951,204,29,32.622802734375,-1.6411093473434448,228,2.167297601699829,16.38,5884,5985
0.1,0.0005,-30.088362189999998,0.07800720632076263,206,29,30.2519474029541,-3.440519332885742,232,0.7905256152153015,16.44,5949,6050
0.1,0.0005,-30.126243149999997,0.07619117200374603,208,29,30.07171058654785,-3.313748598098755,236,4.108964920043945,16.31,6007,6108
0.09,0.0005,-30.23262704,0.07471996545791626,209,29,31.982723236083984,-0.05468568950891495,240,1.5776790380477905,16.3,6069,6170
0.09,0.0005,-30.215315529999998,0.07295563817024231,211,29,30.55839729309082,-3.0553646087646484,244,0.9416904449462891,16.4,6138,6239
0.08,0.0005,-30.300224710000002,0.07203355431556702,213,29,30.886295318603516,-1.8953474760055542,248,1.5468755960464478,16.37,6200,6301
0.09,0.0005,-29.83972658,0.07093807309865952,215,29,29.812217712402344,-2.4242420196533203,252,3.9437096118927,16.35,6261,6362
0.1,0.0005,-29.370072620000002,0.06973326206207275,216,29,29.971790313720703,-1.8180389404296875,256,1.409499168395996,16.4,6326,6427
0.09,0.0005,-29.4582103,0.06847693771123886,218,29,28.238073348999023,-1.4961786270141602,260,1.3537296056747437,16.35,6392,6493
0.1,0.0005,-29.308374330000003,0.06754472106695175,220,29,27.535213470458984,-1.0804316997528076,264,0.4802507162094116,16.33,6456,6557
0.1,0.0005,-29.47612423,0.06673211604356766,221,29,28.486160278320312,-3.0551092624664307,268,1.163849115371704,16.26,6516,6617
0.1,0.0005,-29.591920499999997,0.06570812314748764,223,29,27.03750991821289,-1.0729042291641235,272,1.1111797094345093,16.02,6575,6676
0.11,0.0005,-29.266032180000003,0.06491437554359436,224,29,27.658695220947266,-2.7631471157073975,276,0.49250519275665283,15.99,6631,6732
0.12,0.0005,-28.99401797,0.06395388394594193,226,30,28.677207946777344,-1.3004891872406006,280,0.7931540012359619,15.89,6697,6798
0.11,0.0005,-29.454424430000003,0.0632655918598175,227,30,27.511524200439453,-2.379660129547119,284,0.5793570876121521,15.8,6755,6856
0.12,0.0005,-29.172177589999997,0.06227552890777588,229,30,26.99679946899414,-0.8736079931259155,288,0.48126479983329773,15.73,6830,6931
0.13,0.0005,-28.959002840000007,0.06133382394909859,231,30,26.116886138916016,-0.5841878652572632,292,2.60202693939209,15.74,6895,6996
0.12,0.0005,-29.230119,0.060766059905290604,233,30,28.93301010131836,-1.5644466876983643,296,0.5922846794128418,15.75,6958,7059
0.12,0.0005,-28.89391135,0.059966493397951126,235,30,26.639894485473633,-0.8647841811180115,300,1.8687694072723389,15.89,7028,7129
0.11,0.0005,-29.208969989999996,0.059320930391550064,236,30,26.235492706298828,-1.3550254106521606,304,1.273782730102539,15.87,7085,7186
0.12,0.0005,-28.885469470000004,0.0589473620057106,238,30,26.005395889282227,-1.4835419654846191,308,2.7024245262145996,15.93,7145,7246
0.12,0.0005,-28.885686709999995,0.05824239179491997,239,30,26.822628021240234,-0.9046472311019897,312,3.8711791038513184,15.92,7213,7314
0.14,0.0005,-28.117405769999994,0.05755436792969704,241,30,27.453411102294922,-0.9820520877838135,316,0.810042142868042,16.06,7281,7382
0.16,0.0005,-27.498489660000004,0.05681254714727402,243,30,27.853328704833984,-1.027963399887085,320,1.6240248680114746,16.21,7353,7454
0.17,0.0005,-27.580455649999998,0.05616513267159462,245,30,27.116416931152344,-1.4399601221084595,324,1.1006500720977783,16.08,7407,7508
0.17,0.0005,-27.666545220000003,0.055518753826618195,247,30,26.479267120361328,-0.24759358167648315,328,1.5891427993774414,15.9,7474,7575
0.18,0.0005,-27.568435840000006,0.05486105754971504,248,30,26.959341049194336,-1.3693028688430786,332,1.1787514686584473,15.8,7529,7630
0.19,0.0005,-27.272498510000002,0.054261066019535065,250,30,27.415630340576172,-0.9820801019668579,336,1.0480211973190308,15.8,7587,7688
0.21,0.0005,-26.636902090000003,0.05333741009235382,252,30,27.38097381591797,-2.2806036472320557,340,2.0878257751464844,15.9,7659,7760
0.22,0.0005,-26.617600779999997,0.052524764090776443,253,30,25.952726364135742,-0.5647040009498596,344,0.6241982579231262,15.76,7714,7815
0.24,0.0005,-26.064186149999998,0.05155627056956291,255,30,24.932209014892578,0.041163235902786255,348,1.6022895574569702,15.82,7782,7883
0.24,0.0005,-26.205770359999995,0.051118820905685425,256,30,25.713844299316406,-0.6601226925849915,352,2.5909571647644043,15.81,7842,7943
0.26,0.0005,-25.78497015,0.05041033402085304,258,30,26.273738861083984,-1.155019760131836,356,2.862076759338379,15.81,7907,8008
0.27,0.0005,-25.674317409999993,0.04996340349316597,260,31,24.54327964782715,-0.9134489297866821,360,0.9471296072006226,15.76,7968,8069
0.26,0.0005,-25.773223480000002,0.04910491779446602,262,31,25.837970733642578,-0.573915421962738,364,0.9843976497650146,15.87,8043,8144
0.26,0.0005,-25.78977726,0.048490509390830994,263,31,23.69205093383789,-0.2323998361825943,368,1.8610506057739258,15.91,8107,8208
0.25,0.0005,-25.70973821,0.04812203347682953,265,31,23.354278564453125,0.12555274367332458,372,0.5219449996948242,16.04,8179,8280
0.27,0.0005,-25.027336360000003,0.0477263517677784,267,31,26.095401763916016,0.19401270151138306,376,0.6303730010986328,16.16,8247,8348
0.26,0.0005,-25.143522850000007,0.04754297062754631,269,31,24.41482162475586,0.6121425628662109,380,0.8264502286911011,16.12,8309,8410
0.26,0.0005,-24.98355733,0.04704209789633751,271,31,25.355194091796875,0.1966121941804886,384,0.6644226908683777,16.23,8378,8479
0.26,0.0005,-25.078834200000006,0.04663853719830513,272,31,25.357528686523438,0.8829509019851685,388,1.819199562072754,16.1,8440,8541
0.26,0.0005,-25.045163090000006,0.04662926495075226,274,31,25.27956771850586,0.3340054750442505,392,1.193655014038086,16.07,8502,8603
