idx,Run0,Run1
0,-75.31741562306382,-293.8565619079767
10000,-49.266242701764924,-41.28304971039221
20000,-48.305902842698664,-39.699122145024575
30000,-45.53381221885813,-42.749937931101734
40000,-45.38572998163504,-38.24068037454695
50000,-42.94465020152619,-41.6035684266744
60000,-43.998547996678624,-30.302028406916016
70000,-38.72207731332302,-22.123257137577973
80000,-38.91162755827826,-33.17156070204789
90000,-38.824496047183246,-18.29467274885739
100000,-40.726808444826695,-21.132342701833828
110000,-40.87715445161702,-31.828303096818342
120000,-37.98666304519286,-14.812044374008194
130000,-42.69542078428877,-14.417865556168875
140000,-37.819974624170435,-23.18099152895535
150000,-38.0838060377873,-21.24361272623752
160000,-37.8955272451826,-14.060350937157363
170000,-38.82046171904639,-14.21793706617017
180000,-39.08796814288493,-17.431401187107983
190000,-37.3807766327076,-18.02944035733954
200000,-37.69102883269019,-21.8326041415831
210000,-37.27975246110184,-29.611575769958264
220000,-37.51772982855186,-14.99642651680748
230000,-38.75837382316692,-20.243341832502427
240000,-37.248261690383124,-15.780589607112592
250000,-37.35446527080026,-15.78615366577853
260000,-38.16531525648884,-16.19882706807816
270000,-39.69478405224596,-16.257899331629076
280000,-37.765981395304166,-24.194509326027635
290000,-38.18690612931868,-23.379756109181187
300000,-37.561870685898825,-18.06439963214923
310000,-38.926204691832865,-15.24529802979457
320000,-37.79844545321149,-13.362774750299536
330000,-37.94467224289317,-18.230015896384337
340000,-38.112405768428,-16.223400129660163
350000,-39.0280676124547,-13.420202317815376
360000,-40.6169215881936,-20.41047185344183
370000,-41.09630980517492,-18.185320737558577
380000,-37.50412159854521,-13.238561289958486
390000,-40.812312375220145,-23.962709692230348
400000,-37.828824914475284,-13.432170399408507
410000,-39.29625304674573,-13.345754656687635
420000,-37.785358064800995,-13.452634048094106
430000,-37.122337292211014,-13.367633794576044
440000,-37.38070971352749,-13.650721395513635
450000,-37.32071066574766,-17.62019108210927
460000,-37.702715941393436,-14.637163222161371
470000,-43.87596650090921,-15.100160504887441
480000,-41.76588393063201,-19.817928601290514
490000,-40.17612474068359,-13.305215444149779
500000,-37.76886836875201,-15.443609595092642
500000,-37.78655789146474,-15.43609889173481
