idx,Run0,Run1,Run2
0,-121.57170991924684,-128.49806990063112,-109.46015217739985
10000,-33.81778314663681,-38.86294542868303,-34.287763465125316
20000,-37.88495503660114,-35.29997437346292,-34.08734111645546
30000,-36.11979381579044,-34.5540470516443,-33.33588556304412
40000,-33.96055287997464,-34.51790391970824,-34.41918136495488
50000,-35.7544453691916,-35.649395163564265,-33.49748695775084
60000,-34.54901359166568,-34.665777982763196,-34.317212731592534
70000,-34.308264571930785,-35.89539773628298,-36.19569847137601
80000,-35.20492514618577,-35.29356778888573,-35.428623868710524
90000,-35.90512166291864,-35.011143012035525,-35.37604063559817
100000,-35.52402303114754,-36.8285274279586,-35.19576909066648
110000,-36.04145143053063,-35.11299173758062,-35.38056673084986
120000,-36.5507349957116,-35.623182777574684,-36.2878202033426
130000,-35.64186891156465,-34.347379787827734,-36.85171906429682
140000,-37.34447726189308,-35.03146223012714,-36.97717245378166
150000,-35.533254799894856,-35.281673828218565,-36.25359725473732
160000,-36.37181414683291,-34.40903344356328,-35.21299839221474
170000,-34.612902388307695,-34.57031952589662,-34.99970940960493
180000,-37.6579097383462,-34.13428691939708,-34.64977322193531
190000,-36.18040891298974,-34.64399871441015,-35.37159037226105
200000,-34.61583207193603,-34.77350519386676,-34.95132800087571
210000,-36.43613244440227,-34.86828468012497,-34.784418927537445
220000,-36.082729316850575,-36.146666497396474,-34.594551955978595
230000,-35.84533388318877,-34.67039968278689,-34.343074232311324
240000,-36.10575386431358,-34.50338891002532,-35.18877842860639
250000,-34.80166068408849,-34.58820358446882,-35.26177601017093
260000,-35.62119180700892,-35.24022385763671,-35.40352217661197
270000,-36.35795028343516,-34.98249986212212,-36.09364731192969
280000,-35.60753136419181,-34.15996422339674,-36.6108560567739
290000,-36.59953971402505,-35.099799207406136,-35.49226034870177
300000,-35.861693723284404,-35.788943980366334,-35.8343841695619
310000,-36.1993645214774,-34.99021326341887,-35.564489980577925
320000,-34.682972659844374,-35.944161539116536,-36.01893996903076
330000,-36.08278434186021,-32.435985299869216,-35.16597823896223
340000,-37.60330145543282,-34.755678654844495,-36.28002847525586
350000,-35.401242421236,-35.56841086722922,-35.26794728215268
360000,-36.535068118573896,-35.05757491630892,-36.20925993522794
370000,-36.314864249920724,-35.665536482916494,-36.86572048778559
380000,-33.92729336581557,-35.137703736963736,-36.162359952350165
390000,-36.84427766908775,-33.9919850410447,-36.21092570807682
400000,-36.064503409131255,-34.97271591786948,-35.20405271821241
410000,-35.36817564554414,-34.8149216481351,-36.05692464081001
420000,-37.2479942153236,-34.88934981587431,-35.76607069981618
430000,-35.24553790970958,-34.85067902648928,-35.80856530877075
440000,-34.68072124090499,-34.76698586864891,-35.26284650900437
450000,-36.78543702407226,-33.68636504401239,-35.21966903992108
460000,-35.91788111121251,-35.37132981391384,-35.48570178821718
470000,-36.79334019329804,-35.79868069464418,-35.840498435330844
480000,-36.75268145774239,-34.833644092130875,-34.121319764895155
490000,-37.48847062126766,-36.06719315632909,-35.346756888994946
500000,-37.14995636714147,-35.16511025684319,-35.59374471801016
510000,-36.75333361921288,-35.690431311123916,-36.9269427916388
520000,-37.6332404446833,-33.72443884343372,-36.414441233267596
530000,-44.94704366882545,-34.96058559517485,-35.04313992670597
540000,-38.0419322501593,-35.42360876733962,-36.99373502967972
550000,-38.490305032949884,-34.967487961217444,-35.472255671208046
560000,-35.87968230813643,-35.805999086135365,-34.989681285396635
570000,-36.76181695144943,-35.76158332952669,-35.4491786757032
580000,-34.391830768941716,-35.22594062457582,-34.032842323489916
