RunID,batch_size,buffer_size,gamma,layer_size,learning_rate,num_layers,tau,verbose
Run0,512,152021,0.9802468427681432,64,0.000857063,4,0.4884382207505841,0
Run1,256,671622,0.9673377291194472,64,0.000157314,5,0.8322951104558146,0
Run2,256,223073,0.989493749,256,0.000718696,6,0.759193381,0
Run3,512,154793,0.9933418652437116,512,0.00058267,6,0.8777676408485271,0
Run4,512,528624,0.995278124,512,0.000596985,6,0.9454578082067832,0
Run4,1024,698520,0.985225966,128,0.00038383,4,0.3457334058625541,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
Run5,1024,513526,0.9613600867495192,64,0.0006117609022507587,2,0.103453891016841,0
Run6,32,1085710,0.9953008362838752,1024,0.000912079158140458,6,0.5997619831101222,0
Run7,32,1090460,0.9923171258443136,1024,0.0006191242764104788,3,0.8722964282480601,0
Run8,64,40742,0.965141909868354,256,0.00024938752407450894,5,0.19941008545669492,0
Run9,128,1275353,0.9764313092674004,128,0.00014313662359324267,2,0.41589960881096855,0
Run10,32,200687,0.9675300566421332,64,0.0004307982734819866,4,0.7650823673219386,0
Run11,512,1488723,0.9937507976522212,1024,0.0001247693015302241,5,0.2883664648996883,0
Run12,64,360443,0.951381316426026,512,0.0007437567582766477,6,0.6714566169290274,0
Run13,64,841014,0.963836711054808,128,0.0001902933619686992,3,0.313703987262572,0
Run14,256,413389,0.9945835985219632,128,0.0009188651052899552,3,0.7024347022154551,0
Run15,256,223134,0.9888343296971264,64,0.00017688078807969056,3,0.9838974375621288,0
Run16,64,268174,0.9528743868114756,64,0.000936285865518998,3,0.6952874593686157,0
Run17,512,707315,0.9835187749395088,64,0.0004082864632194885,2,0.36294083315749925,0
