train/ent_coef,rollout/success_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,train/critic_loss,train/ent_coef_loss,train/learning_rate
0.9321342706680298,0.0,42,249,-34.307430267333984,148,-64.09590475,5,62.25,4,50.64922332763672,-0.18514341115951538,0.0005
0.8850917816162109,0.0,45,372,-41.204376220703125,271,-55.53244600000001,8,46.5,8,54.89818572998047,-0.2902810573577881,0.0005
0.8467327356338501,0.0,47,463,-4.501788139343262,362,-51.597206916666664,9,38.583333333333336,12,19.280250549316406,-0.5183532238006592,0.0005
0.6895276308059692,0.0,57,889,-21.700809478759766,788,-59.6335990625,15,55.5625,16,23.61323356628418,-0.9997740387916565,0.0005
0.569373369216919,0.0,66,1294,-12.515303611755371,1193,-62.32318339999999,19,64.7,20,14.417269706726074,-1.4736056327819824,0.0005
0.38417357206344604,0.0,83,2065,3.390087127685547,1964,-70.42388625000001,24,86.04166666666667,24,10.182889938354492,-2.8359439373016357,0.0005
0.33522993326187134,0.0,90,2321,12.27952766418457,2220,-70.28922953571428,25,82.89285714285714,28,10.708040237426758,-3.210679054260254,0.0005
0.2940512001514435,0.0,96,2572,45.273902893066406,2471,-70.19331978125001,26,80.375,32,0.3919222056865692,-3.7931528091430664,0.0005
0.25886210799217224,0.0,102,2816,37.446556091308594,2715,-68.95023727777779,27,78.22222222222223,36,0.962875485420227,-2.761775493621826,0.0005
0.25116387009620667,0.0,103,2882,46.34919738769531,2781,-66.48200887499999,27,72.05,40,2.180908203125,-4.0381364822387695,0.0005
0.23787325620651245,0.0,106,2992,42.06955337524414,2891,-64.50153027272727,28,68.0,44,0.5449658632278442,-4.148746967315674,0.0005
0.22772538661956787,0.0,108,3079,40.00141143798828,2978,-62.57125802083333,28,64.14583333333333,48,0.40687859058380127,-4.181978702545166,0.0005
0.22071219980716705,0.0,110,3143,39.7568359375,3042,-61.16463271153846,28,60.44230769230769,52,0.31810081005096436,-3.955158233642578,0.0005
0.2138388603925705,0.0,111,3213,36.48309326171875,3112,-59.590776125,28,57.375,56,1.0125031471252441,-4.223005771636963,0.0005
0.20067645609378815,0.0,115,3353,37.18946838378906,3252,-58.52959233333333,29,55.88333333333333,60,0.7895505428314209,-4.17768669128418,0.0005
0.1922871321439743,0.0,117,3448,37.225502014160156,3347,-57.341894749999994,29,53.875,64,0.2333558201789856,-4.113338470458984,0.0005
0.18162409961223602,0.0,121,3576,35.056884765625,3475,-56.51289532352941,29,52.588235294117645,68,0.4908907413482666,-4.29890775680542,0.0005
0.1755405068397522,0.0,122,3654,33.918540954589844,3553,-55.210846305555556,29,50.75,72,0.40590429306030273,-3.6156466007232666,0.0005
0.17023245990276337,0.0,124,3727,35.06121826171875,3626,-54.36632471052632,29,49.03947368421053,76,0.5895733833312988,-4.299925804138184,0.0005
0.16428831219673157,0.0,126,3807,35.34353256225586,3706,-53.635167312499995,30,47.5875,80,1.5156362056732178,-4.256846904754639,0.0005
0.16040287911891937,0.0,128,3864,34.905548095703125,3763,-52.98688659523809,30,46.0,84,0.37856635451316833,-4.431247711181641,0.0005
0.15551809966564178,0.0,130,3934,36.19970703125,3833,-52.34451176136363,30,44.70454545454545,88,0.23694419860839844,-4.1509480476379395,0.0005
0.15077488124370575,0.0,132,4006,33.82890319824219,3905,-51.64721972826086,30,43.54347826086956,92,0.3135131001472473,-4.065678596496582,0.0005
0.14635160565376282,0.0,133,4076,35.13605499267578,3975,-51.091393135416666,30,42.458333333333336,96,0.2688151001930237,-4.543564319610596,0.0005
0.14157089591026306,0.0,135,4152,34.60304260253906,4051,-50.381724600000005,30,41.52,100,0.43160563707351685,-3.9695498943328857,0.0005
0.1373162865638733,0.0,137,4222,34.923484802246094,4121,-49.48164575,30,39.73,104,0.4191333055496216,-4.571793079376221,0.0005
0.1323358416557312,0.0,139,4309,36.132537841796875,4208,-49.16100284,30,39.37,108,0.5050445795059204,-4.48468017578125,0.0005
