idx,Run0,Run1
0,0.0,0.0
10000,0.1795054935711501,0.0
20000,0.3,0.0
30000,0.0,0.0
40000,0.0,0.0
50000,0.17950549357115012,0.0
60000,0.0,0.0
70000,0.17950549357115012,0.0
80000,0.0,0.0
90000,0.0,0.1795054935711501
100000,0.0,0.0
110000,0.0,0.30000000000000004
120000,0.0,0.0
130000,0.17950549357115014,0.0
140000,0.0,0.24944382578492943
150000,0.0,0.37267799624996495
160000,0.0,0.1795054935711501
170000,0.0,0.0
180000,0.0,0.33993463423951903
190000,0.0,0.17950549357115014
200000,0.0,0.30000000000000004
210000,0.0,0.17950549357115014
220000,0.17950549357115012,0.24944382578492943
230000,0.0,0.0
240000,0.0,0.0
250000,0.0,0.17950549357115014
260000,0.0,0.24944382578492943
270000,0.0,0.24944382578492943
280000,0.0,0.0
290000,0.0,0.24944382578492943
300000,0.0,0.17950549357115012
310000,0.0,0.1795054935711501
320000,0.0,0.0
330000,0.0,0.1795054935711501
340000,0.0,0.24944382578492943
350000,0.24944382578492943,0.0
360000,0.0,0.0
370000,0.1795054935711501,0.24944382578492943
380000,0.1795054935711501,0.24944382578492943
390000,0.0,0.1795054935711501
400000,0.0,0.1795054935711501
410000,0.0,0.24944382578492943
420000,0.17950549357115012,0.1795054935711501
430000,0.0,0.24944382578492943
440000,0.33993463423951903,0.3
450000,0.0,0.1795054935711501
460000,0.0,0.17950549357115012
470000,0.0,0.3
480000,0.17950549357115012,0.0
490000,0.0,0.3
500000,0.0,0.1795054935711501
510000,0.0,0.24944382578492943
520000,0.0,0.0
530000,0.0,0.458257569495584
540000,0.45825756949558394,0.45825756949558394
550000,0.4714045207910317,0.4955356249106168
560000,0.48189440982669857,0.4955356249106168
570000,0.4714045207910316,0.45825756949558394
580000,0.49888765156985887,0.4229525846816506
590000,0.4714045207910316,0.4898979485566357
600000,0.44221663871405337,0.4714045207910317
610000,0.4714045207910316,0.42295258468165065
620000,0.3726779962499649,0.4818944098266986
630000,0.45825756949558394,0.4898979485566357
640000,0.45825756949558394,0.44221663871405337
650000,0.4422166387140533,0.4714045207910317
660000,0.42295258468165065,0.3726779962499649
670000,0.4000000000000001,0.45825756949558394
680000,0.44221663871405337,0.4229525846816506
690000,0.44221663871405337,0.3726779962499649
700000,0.4229525846816506,0.33993463423951903
710000,0.33993463423951903,0.44221663871405337
720000,0.4,0.37267799624996495
730000,0.44221663871405337,0.4714045207910317
740000,0.458257569495584,0.33993463423951903
750000,0.33993463423951903,0.3726779962499649
760000,0.3,0.4229525846816506
770000,0.4229525846816506,0.3726779962499649
780000,0.3726779962499649,0.4714045207910317
790000,0.33993463423951903,0.17950549357115012
800000,0.42295258468165065,0.3
810000,0.45825756949558394,0.29999999999999993
820000,0.33993463423951903,0.4
830000,0.3,0.29999999999999993
840000,0.33993463423951903,0.24944382578492943
850000,0.3726779962499649,0.24944382578492943
860000,0.3,0.33993463423951903
870000,0.24944382578492943,0.29999999999999993
880000,0.45825756949558394,0.3726779962499649
890000,0.29999999999999993,0.4
900000,0.33993463423951903,0.458257569495584
910000,0.0,0.33993463423951903
920000,0.33993463423951903,0.17950549357115012
930000,0.4229525846816506,0.24944382578492943
940000,0.24944382578492943,0.24944382578492943
950000,0.30000000000000004,0.30000000000000004
960000,0.30000000000000004,0.44221663871405337
970000,0.44221663871405326,0.33993463423951903
980000,0.4,0.3
990000,0.3726779962499649,0.3726779962499649
1000000,0.24944382578492943,0.3726779962499649
1010000,0.33993463423951903,0.4229525846816506
1020000,0.3726779962499649,0.44221663871405337
1030000,0.33993463423951903,0.4818944098266986
1040000,0.44221663871405337,0.48189440982669857
1050000,0.4818944098266986,0.48989794855663565
1060000,0.458257569495584,0.48189440982669857
1070000,0.4818944098266986,0.4714045207910317
1080000,0.4818944098266986,0.4714045207910317
1090000,0.4988876515698589,0.5
1100000,0.4955356249106168,0.45825756949558394
1110000,0.45825756949558405,0.44221663871405326
1120000,0.4898979485566357,0.42295258468165065
1130000,0.45825756949558394,0.33993463423951903
1140000,0.48989794855663565,0.4
1150000,0.45825756949558394,0.3
1160000,0.4422166387140533,0.37267799624996495
1170000,0.24944382578492943,0.3
1180000,0.45825756949558394,0.24944382578492943
1190000,0.4422166387140533,0.37267799624996495
1200000,0.4714045207910317,0.458257569495584
1210000,0.4714045207910317,0.42295258468165065
1220000,0.4,0.4422166387140533
1230000,0.4,0.42295258468165065
1240000,0.4422166387140533,0.4229525846816506
1250000,0.33993463423951903,0.37267799624996495
1260000,0.24944382578492943,0.4
1270000,0.3,0.4422166387140533
1280000,0.4714045207910317,0.4422166387140533
1290000,0.4229525846816506,0.24944382578492943
1300000,0.4,0.37267799624996495
1310000,0.42295258468165065,0.37267799624996495
1320000,0.37267799624996495,0.44221663871405337
1330000,0.4229525846816506,0.24944382578492943
1340000,0.45825756949558394,0.33993463423951903
1350000,0.4,0.3
1360000,0.33993463423951903,0.3726779962499649
1370000,0.4000000000000001,0.45825756949558394
1380000,0.33993463423951903,0.17950549357115012
1390000,0.48189440982669857,0.33993463423951903
1400000,0.44221663871405326,0.33993463423951903
1410000,0.458257569495584,0.4
1420000,0.33993463423951903,0.3
1430000,0.45825756949558394,0.4229525846816506
1440000,0.4422166387140533,0.42295258468165065
1450000,0.4229525846816506,0.33993463423951903
1460000,0.4714045207910317,0.37267799624996495
1470000,0.4422166387140533,0.33993463423951903
1480000,0.3726779962499649,0.24944382578492943
1490000,0.4000000000000001,0.4
1500000,0.4422166387140533,0.4229525846816506
1510000,0.4422166387140533,0.33993463423951903
1520000,0.4,0.4
1530000,0.4229525846816506,0.33993463423951903
1540000,0.40000000000000013,0.24944382578492943
1550000,0.42295258468165065,0.4
1560000,0.37267799624996495,0.30000000000000004
