idx,Run0,Run1,Run2
0,-178.2933763965357,-174.8317236536198,-172.0337581481252
10000,-37.07727828317336,-34.03655051252049,-39.90571903313999
20000,-26.444218625709148,-24.944593013090476,-24.7107122169388
30000,-21.78449767792136,-21.65229684896603,-21.236770743564026
40000,-19.15030279381799,-23.162918292273996,-19.296381358798637
50000,-14.36161043937002,-19.32118327712339,-19.358532365379453
60000,-15.554769277592658,-24.922857580882866,-18.835467587493106
70000,-16.292236832339192,-27.185546530312006,-16.40652815743153
80000,-10.320506833499149,-19.03182472836944,-17.438046959135097
90000,-12.301608509072993,-16.28938308419501,-12.113438666205177
100000,-7.53117966890749,-15.166683827766699,-12.574574386742933
110000,-14.018602071965546,-16.394448275872286,-10.489426086109676
120000,-11.771423049194032,-20.965266099206055,-10.19384319258097
130000,-7.6656279934164555,-18.815012509507692,-8.255898217913103
140000,-10.709989460801722,-11.683385453188873,-11.64658144621732
150000,-8.454120584494211,-18.01603386144644,-10.438264652776885
160000,-11.863298976453297,-14.520358659824648,-11.074263235914607
170000,-9.549232013963497,-14.188937879837992,-12.766573742476165
180000,-6.914609594181818,-13.75547105395561,-10.393334229464422
190000,-8.808880891229814,-15.62203368801983,-11.080406073444543
200000,-9.067469562902621,-18.644761225009194,-13.034938656748587
210000,-8.300844068688402,-13.23408001723063,-23.881156449140587
220000,-10.889779293347297,-12.70413518747247,-8.845644900079634
230000,-8.895435548223553,-11.511465713701561,-10.269411470667581
240000,-8.248768892799228,-9.333409756164464,-8.523235368909592
250000,-16.495791458384193,-10.598493279103065,-7.437844021318081
260000,-8.39579670646527,-9.69637036036884,-12.489799649727649
270000,-9.810525350197958,-10.858295660310858,-13.940151411308287
280000,-10.858634106978844,-9.713393305451559,-9.809046708266116
290000,-12.48527523672454,-10.256127214823659,-8.921449096694769
300000,-7.644089554585026,-8.109171394865289,-9.712545782459793
310000,-8.155923313538915,-10.37732094952836,-8.14771995614209
320000,-13.643838712334627,-28.463618347734055,-10.377934283782649
330000,-8.157038975144976,-8.837603541961297,-8.385797222360795
340000,-8.12811721139208,-9.550691158878598,-7.469609720086406
350000,-8.90156875200749,-8.278870693688337,-9.920866010912821
360000,-26.230452421013865,-10.909197105647042,-8.14821742410945
370000,-8.711822005344137,-7.548037074286464,-6.864180084196032
380000,-11.044418092446456,-8.417203710205131,-8.804033911787824
390000,-9.709627443195256,-12.754973894747659,-8.187638295143675
400000,-8.923561653802125,-6.789194999538204,-9.341522704601678
410000,-6.75963014691129,-9.11953039494333,-6.826779364400516
420000,-8.889307400174891,-11.265695886140467,-6.923880992521193
430000,-10.288790869888624,-8.100185689990372,-10.867215707761197
440000,-9.013942919122929,-7.477160191428571,-8.1769932981575
450000,-9.174348012357198,-8.243364030634014,-9.994362011540467
460000,-8.90574059787033,-11.054663630759064,-6.911368777955596
470000,-8.695904141430503,-6.958577125860029,-9.581099926725773
480000,-8.237961773509369,-7.569554355002311,-10.863719934774291
490000,-21.71764403611604,-8.07253187098203,-12.332800784842487
500000,-11.277667777600373,-9.190891924672062,-8.18047655011937
510000,-33.525100175451676,-15.287618554807905,-11.033597751836352
520000,-15.592017354682154,-12.79911038708374,-13.732804669602793
530000,-13.774752968937076,-54.49153822203585,-22.558799669366586
540000,-14.158305952063323,-14.156049349478037,-23.64214558231015
550000,-14.191452816710727,-17.905406035261624,-19.069058772619506
560000,-17.618058241371298,-18.057840240248222,-23.258444635610466
570000,-13.438916054984869,-19.96354032032066,-28.840182085832918
580000,-17.621801324949548,-20.25642014934612,-22.562260025147804
590000,-18.49093473159313,-21.963250835142368,-22.472751021660596
600000,-24.31866645618842,-25.56162398485806,-28.45223938907734
610000,-27.85390205769205,-27.34084990867334,-27.28675530892088
620000,-28.33276869976667,-27.948450149939234,-33.9949026576206
630000,-31.120392180616573,-28.168811883410985,-29.13702343095859
640000,-27.973478763946378,-26.8025125228747,-26.66541944512751
650000,-27.80811756734253,-29.340792573520996,-28.805145873698514
660000,-27.608226632611565,-29.245479657379757,-31.048763836880465
670000,-29.342966767414644,-27.0425562117912,-28.37394473629279
680000,-27.372765947669908,-29.020833079351746,-27.281213270715465
690000,-37.47880946065134,-30.74741513815635,-30.420852033180175
700000,-27.78385016936734,-28.655581240398185,-31.91098547764147
710000,-27.243416524153144,-34.78573694121136,-29.438190651667032
720000,-30.10142415607435,-30.59315357704708,-34.2900259288562
730000,-28.843366084804906,-28.00377392520312,-26.825386236106297
740000,-29.599206669186284,-30.84805487888616,-26.915530091967547
750000,-29.60294293004676,-28.90418288248396,-32.3441763533151
760000,-29.460482135218726,-28.83834261882727,-34.17253117003609
770000,-27.985131816761943,-27.6974276463753,-31.362727429800977
780000,-32.916986655976174,-29.570230001485122,-30.338780314991023
790000,-28.117053984155177,-43.13327718604625,-29.219954478917504
800000,-43.34852011282576,-29.919438427215542,-28.73282037234278
810000,-44.36071298090499,-29.20195045135288,-28.69829606872837
820000,-28.078433022025184,-29.82991206907739,-29.62059164530057
830000,-30.408114855025232,-35.28705661266015,-29.887868761705988
840000,-26.318815095821158,-33.309351108272985,-28.675882477027823
850000,-36.41260833240615,-31.348413018524916,-35.68192317949015
860000,-34.04710023648909,-29.77511743454265,-38.17364099805081
870000,-29.90179801709602,-29.573293371534078,-37.30447784929332
880000,-28.488022319254704,-28.834880249576745,-37.28588904788521
890000,-30.38566045357444,-30.650672824124012,-36.69917288767976
900000,-29.59980806409342,-35.877159666975395,-37.29175487484006
910000,-31.013284282259647,-26.697181934886213,-39.11875844013808
920000,-32.98200123689978,-29.29850360315243,-38.22633042871133
930000,-30.601934349145896,-32.337137458902745,-37.586387666154366
940000,-29.98600382043987,-29.743529706543534,-39.624244988792206
950000,-29.951124286212,-38.94064498106342,-41.72013159411777
960000,-30.698826382993218,-32.46113922018156,-34.612480765024415
970000,-30.724344690993156,-28.10175469617199,-36.20705931351772
980000,-29.16260866886376,-30.070450159133493,-41.46471166271307
990000,-31.94839633964357,-29.30863641501802,-40.03341207030163
1000000,-26.624700152582882,-28.960513366730527,-41.24707654596744
1010000,-32.227938240914256,-33.29037759715547,-41.58045154293437
1020000,-31.02312989558414,-30.232745388048805,-36.156715023057515
1030000,-30.331048687808025,-36.98326475965874,-31.719593728798518
1040000,-28.336065870541617,-32.54851523051456,-34.20517306354625
1050000,-29.709421188234717,-34.106073461957905,-37.1661585804569
1060000,-28.316458758153537,-28.797865251811693,-37.62689042193293
1070000,-35.10364403870652,-34.56109988982724,-29.657819720603918
1080000,-29.420826419379004,-36.342508140943735,-34.47060185416288
