idx,Run0
0,-116.24312626259099
10000,-34.026166467693216
20000,-34.02757972034464
30000,-33.771273643907755
40000,-34.43948757159498
50000,-35.38785223888393
60000,-36.03186750053349
70000,-35.759386020339925
80000,-34.369295924384026
90000,-31.631490329440403
100000,-32.731468657454535
110000,-33.92633137042499
120000,-36.487240949623796
130000,-33.79847749747583
140000,-35.417249878694996
150000,-34.25588229723698
160000,-34.00043136680069
170000,-31.92694531440338
180000,-32.240598429516645
190000,-35.62650841753082
200000,-35.361646012437085
210000,-34.35513476664771
220000,-35.230439768312735
230000,-31.732924738462827
240000,-28.430233634404917
250000,-34.95625830444041
260000,-34.45021362888706
270000,-28.497487552347142
280000,-32.65463964932852
290000,-29.573180164045475
300000,-28.52145695588279
310000,-28.453007786767
320000,-30.606443359762388
330000,-26.42658864578972
340000,-26.7622533947913
350000,-25.22716360479098
360000,-35.691589313491356
370000,-29.04472898794433
380000,-25.790602318552033
390000,-34.43552873579702
400000,-26.832300897828286
410000,-26.84076959919854
420000,-35.86971965785194
430000,-30.746310135367775
440000,-27.848835391471635
450000,-30.370737522748172
460000,-30.57705073221953
470000,-26.65016315843151
480000,-30.85996691154424
490000,-34.777107527868466
500000,-31.81055027594537
