idx,Run0,Run0,Run1,Run1,Run2,Run2,Run3,Run3,Run4,Run4
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.7666666666666667,1.0,1.0,0.6333333333333333,0.6333333333333333
10000,0.36666666666666664,0.36666666666666664,0.0,0.0,0.03333333333333333,0.03333333333333333,0.6333333333333333,0.6333333333333333,0.8333333333333334,0.8333333333333334
20000,0.36666666666666664,0.36666666666666664,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.13333333333333333
30000,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3,0.3
40000,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3,0.3
50000,0.6666666666666666,0.6666666666666666,0.2,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3,0.3
60000,0.8666666666666667,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.3
70000,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6,0.6,0.3333333333333333,0.3333333333333333
80000,1.0,1.0,0.8,0.8,0.03333333333333333,0.03333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
90000,1.0,1.0,0.8,0.8,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333
100000,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.23333333333333334,0.23333333333333334,1.0,1.0,0.3333333333333333,0.3333333333333333
110000,0.8666666666666667,0.8666666666666667,0.9,0.9,0.36666666666666664,0.36666666666666664,1.0,1.0,0.6,0.6
120000,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.5666666666666667,0.5666666666666667,1.0,1.0,0.6333333333333333,0.6333333333333333
130000,0.8666666666666667,0.8666666666666667,1.0,1.0,0.8666666666666667,0.8666666666666667,1.0,1.0,0.9333333333333333,0.9333333333333333
140000,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
150000,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.7333333333333333,0.7333333333333333
160000,0.8666666666666667,0.8666666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.8666666666666667,0.8666666666666667
170000,0.8666666666666667,0.8666666666666667,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334
180000,0.8666666666666667,0.8666666666666667,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334
190000,0.8666666666666667,0.8666666666666667,1.0,1.0,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.7,0.7
200000,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.6,0.6
210000,1.0,1.0,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333
220000,1.0,1.0,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.5666666666666667,0.5666666666666667
230000,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334
240000,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5666666666666667,0.5666666666666667
250000,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.7,0.7
260000,0.7333333333333333,0.7333333333333333,0.7,0.7,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333
270000,0.8666666666666667,0.8666666666666667,0.7,0.7,0.5,0.5,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667
280000,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.5666666666666667,0.5,0.5,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667
290000,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.5666666666666667,0.5,0.5,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667
300000,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.5666666666666667,0.5,0.5,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667
310000,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
320000,0.7333333333333333,0.7333333333333333,0.43333333333333335,0.43333333333333335,0.5,0.5,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
330000,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.5666666666666667,0.5,0.5,0.7333333333333333,0.7333333333333333,0.7,0.7
340000,0.7333333333333333,0.7333333333333333,0.7,0.7,0.5,0.5,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667
350000,0.7333333333333333,0.7333333333333333,0.7,0.7,0.6333333333333333,0.6333333333333333,0.7333333333333333,0.7333333333333333,0.7,0.7
