idx,Run0,Run0,Run1,Run1,Run2,Run2,Run3,Run3,Run4,Run4
0,-90.14299900005302,-90.14299900005302,-170.1968826914516,-170.1968826914516,-131.4508218122238,-131.4508218122238,-101.15888828329294,-101.15888828329294,-150.32748905251458,-150.32748905251458
10000,-143.05218219045918,-143.05218219045918,-196.34027081103437,-196.34027081103437,-192.88418456463606,-192.88418456463606,-153.5235618864195,-153.5235618864195,-119.56550219191965,-119.56550219191965
20000,-162.37204192624418,-162.37204192624418,-192.1886850637166,-192.1886850637166,-186.22079057801358,-186.22079057801358,-180.33790391487557,-180.33790391487557,-169.64566205703738,-169.64566205703738
30000,-160.3318386435151,-160.3318386435151,-188.7567075368359,-188.7567075368359,-174.16422511847682,-174.16422511847682,-166.4433467113322,-166.4433467113322,-135.57350825071325,-135.57350825071325
40000,-114.53785434179514,-114.53785434179514,-183.63530730728627,-183.63530730728627,-170.94304439365038,-170.94304439365038,-161.94521211942745,-161.94521211942745,-142.0206184345846,-142.0206184345846
50000,-86.49241825216603,-86.49241825216603,-163.0922616676344,-163.0922616676344,-159.76550319392692,-159.76550319392692,-149.54190589742785,-149.54190589742785,-128.93506880650995,-128.93506880650995
60000,-75.20782868277739,-75.20782868277739,-97.22188094095158,-97.22188094095158,-136.64395460625053,-136.64395460625053,-147.0475288139797,-147.0475288139797,-124.65527696453151,-124.65527696453151
70000,-38.092168921931375,-38.092168921931375,-128.98194202821475,-128.98194202821475,-126.15592784856575,-126.15592784856575,-112.15216285585953,-112.15216285585953,-124.80816617933598,-124.80816617933598
80000,-36.031358679776126,-36.031358679776126,-61.98432222616996,-61.98432222616996,-152.9870810156425,-152.9870810156425,-79.50703591128735,-79.50703591128735,-116.26467400102905,-116.26467400102905
90000,-34.8729708207478,-34.8729708207478,-58.38463694644716,-58.38463694644716,-143.8877799499928,-143.8877799499928,-35.55126036244277,-35.55126036244277,-113.93289377579342,-113.93289377579342
100000,-41.56530726574998,-41.56530726574998,-46.88224935747214,-46.88224935747214,-133.84691494367647,-133.84691494367647,-35.816751627876634,-35.816751627876634,-107.1065472540306,-107.1065472540306
110000,-40.36675689352193,-40.36675689352193,-46.82609598719656,-46.82609598719656,-113.40134748401448,-113.40134748401448,-35.444609030154965,-35.444609030154965,-80.18603133801827,-80.18603133801827
120000,-43.75838958563233,-43.75838958563233,-39.93433076279491,-39.93433076279491,-86.16623595960695,-86.16623595960695,-34.078401719599896,-34.078401719599896,-72.50554348665493,-72.50554348665493
130000,-41.81586025474093,-41.81586025474093,-35.16710111911907,-35.16710111911907,-50.03897383615289,-50.03897383615289,-34.265609595492805,-34.265609595492805,-49.55257202641465,-49.55257202641465
140000,-40.922482557628356,-40.922482557628356,-47.25803151371861,-47.25803151371861,-36.436582851972624,-36.436582851972624,-34.4559362278683,-34.4559362278683,-36.14377869456023,-36.14377869456023
