train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/success_rate,train/learning_rate,train/n_updates,train/critic_loss,time/fps
0.9321342706680298,62.25,249,-0.18514341115951538,61,-64.09590475,-34.307430267333984,4,0.0,0.0005,148,50.64922332763672,4
0.8850917816162109,46.5,372,-0.2902810573577881,64,-55.53244600000001,-41.204376220703125,8,0.0,0.0005,271,54.89818572998047,5
0.8467327356338501,38.583333333333336,463,-0.5183532238006592,67,-51.597206916666664,-4.501788139343262,12,0.0,0.0005,362,19.280250549316406,6
0.6895276308059692,55.5625,889,-0.9997740387916565,79,-59.6335990625,-21.700809478759766,16,0.0,0.0005,788,23.61323356628418,11
0.569373369216919,64.7,1294,-1.4736056327819824,91,-62.32318339999999,-12.515303611755371,20,0.0,0.0005,1193,14.417269706726074,14
0.38417357206344604,86.04166666666667,2065,-2.8359439373016357,113,-70.42388625000001,3.390087127685547,24,0.0,0.0005,1964,10.182889938354492,18
0.33522993326187134,82.89285714285714,2321,-3.210679054260254,121,-70.28922953571428,12.27952766418457,28,0.0,0.0005,2220,10.708040237426758,19
0.2940512001514435,80.375,2572,-3.7931528091430664,128,-70.19331978125001,45.273902893066406,32,0.0,0.0005,2471,0.3919222056865692,20
0.25886210799217224,78.22222222222223,2816,-2.761775493621826,135,-68.95023727777779,37.446556091308594,36,0.0,0.0005,2715,0.962875485420227,20
0.25116387009620667,72.05,2882,-4.0381364822387695,137,-66.48200887499999,46.34919738769531,40,0.0,0.0005,2781,2.180908203125,20
0.23787325620651245,68.0,2992,-4.148746967315674,141,-64.50153027272727,42.06955337524414,44,0.0,0.0005,2891,0.5449658632278442,21
0.22772538661956787,64.14583333333333,3079,-4.181978702545166,143,-62.57125802083333,40.00141143798828,48,0.0,0.0005,2978,0.40687859058380127,21
0.22071219980716705,60.44230769230769,3143,-3.955158233642578,145,-61.16463271153846,39.7568359375,52,0.0,0.0005,3042,0.31810081005096436,21
0.2138388603925705,57.375,3213,-4.223005771636963,147,-59.590776125,36.48309326171875,56,0.0,0.0005,3112,1.0125031471252441,21
0.20067645609378815,55.88333333333333,3353,-4.17768669128418,151,-58.52959233333333,37.18946838378906,60,0.0,0.0005,3252,0.7895505428314209,22
0.1922871321439743,53.875,3448,-4.113338470458984,154,-57.341894749999994,37.225502014160156,64,0.0,0.0005,3347,0.2333558201789856,22
0.18162409961223602,52.588235294117645,3576,-4.29890775680542,158,-56.51289532352941,35.056884765625,68,0.0,0.0005,3475,0.4908907413482666,22
0.1755405068397522,50.75,3654,-3.6156466007232666,160,-55.210846305555556,33.918540954589844,72,0.0,0.0005,3553,0.40590429306030273,22
0.17023245990276337,49.03947368421053,3727,-4.299925804138184,162,-54.36632471052632,35.06121826171875,76,0.0,0.0005,3626,0.5895733833312988,22
0.16428831219673157,47.5875,3807,-4.256846904754639,165,-53.635167312499995,35.34353256225586,80,0.0,0.0005,3706,1.5156362056732178,23
0.16040287911891937,46.0,3864,-4.431247711181641,166,-52.98688659523809,34.905548095703125,84,0.0,0.0005,3763,0.37856635451316833,23
0.15551809966564178,44.70454545454545,3934,-4.1509480476379395,168,-52.34451176136363,36.19970703125,88,0.0,0.0005,3833,0.23694419860839844,23
0.15077488124370575,43.54347826086956,4006,-4.065678596496582,170,-51.64721972826086,33.82890319824219,92,0.0,0.0005,3905,0.3135131001472473,23
0.14635160565376282,42.458333333333336,4076,-4.543564319610596,172,-51.091393135416666,35.13605499267578,96,0.0,0.0005,3975,0.2688151001930237,23
0.14157089591026306,41.52,4152,-3.9695498943328857,175,-50.381724600000005,34.60304260253906,100,0.0,0.0005,4051,0.43160563707351685,23
0.1373162865638733,39.73,4222,-4.571793079376221,177,-49.48164575,34.923484802246094,104,0.0,0.0005,4121,0.4191333055496216,23
0.1323358416557312,39.37,4309,-4.48468017578125,179,-49.16100284,36.132537841796875,108,0.0,0.0005,4208,0.5050445795059204,23
0.12895676493644714,39.08,4371,-3.9565846920013428,181,-48.49381746,33.855220794677734,112,0.01,0.0005,4270,0.5775341987609863,24
0.12588344514369965,35.39,4428,-3.9872610569000244,183,-46.7215407,34.563724517822266,116,0.01,0.0005,4327,0.1175568699836731,24
0.12306281924247742,31.9,4484,-4.544022560119629,185,-45.29146909000001,34.222557067871094,120,0.01,0.0005,4383,0.27726778388023376,24
