train/ent_coef,time/time_elapsed,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_rew_mean
0.9381917715072632,41,0.0,-27.267276763916016,-0.188996359705925,0.0005,5,62.19369125366211,61.0,143,4,244,-60.66151625
0.8781993389129639,45,0.0,-18.122549057006836,-0.3926873803138733,0.0005,8,8.562638282775879,47.25,277,8,378,-53.041168
0.8008719086647034,50,0.0,-20.380512237548828,-0.5257198810577393,0.0005,11,41.749595642089844,47.166666666666664,465,12,566,-54.16285833333333
0.7776530385017395,52,0.0,-125.43537902832031,-0.3293878436088562,0.0005,12,106.4127197265625,40.375,545,16,646,-51.325569125
0.7713334560394287,54,0.0,-324.3870849609375,0.0010700765997171402,0.0005,13,1056.8170166015625,36.05,620,20,721,-49.447462200000004
0.787754476070404,56,0.0,-1809.52099609375,0.7390617728233337,0.0005,13,49240.01953125,32.083333333333336,669,24,770,-47.013568416666665
0.7844197154045105,61,0.0,279.8305969238281,-0.22366395592689514,0.0005,15,927.30224609375,34.357142857142854,861,28,962,-48.28514917857143
0.7720357179641724,64,0.0,198.94482421875,-0.2324618697166443,0.0005,16,433.75665283203125,32.78125,948,32,1049,-47.511520625
0.7635292410850525,65,0.0,145.60467529296875,-0.24601171910762787,0.0005,16,349.68896484375,30.694444444444443,1004,36,1105,-46.69575444444445
0.7388657331466675,68,0.0,83.52525329589844,-0.5564621686935425,0.0005,17,100.6021728515625,30.475,1118,40,1219,-46.521534625
0.7065603137016296,71,0.0,58.35988235473633,-0.6411583423614502,0.0005,18,69.366943359375,30.136363636363637,1225,44,1326,-46.51672622727273
0.6675803661346436,75,0.0,41.701133728027344,-0.7566486597061157,0.0005,19,26.638357162475586,30.104166666666668,1344,48,1445,-46.848538
0.6339098215103149,77,0.0,41.06441879272461,-1.0033652782440186,0.0005,19,11.184898376464844,29.673076923076923,1442,52,1543,-46.6629094423077
0.6098612546920776,79,0.0,38.97483444213867,-1.099772334098816,0.0005,20,22.185035705566406,28.857142857142858,1515,56,1616,-46.18827546428572
0.5363237261772156,86,0.0,37.476097106933594,-1.4004770517349243,0.0005,21,6.696232795715332,30.983333333333334,1758,60,1859,-46.72754153333334
