train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/learning_rate,time/time_elapsed
-0.18514341115951538,0.9321342706680298,148,50.64922332763672,0.0,62.25,249,8,-64.09590475,-34.307430267333984,4,0.0005,31
-0.2902810573577881,0.8850917816162109,271,54.89818572998047,0.0,46.5,372,11,-55.53244600000001,-41.204376220703125,8,0.0005,33
-0.5183532238006592,0.8467327356338501,362,19.280250549316406,0.0,38.583333333333336,463,13,-51.597206916666664,-4.501788139343262,12,0.0005,34
-0.9997740387916565,0.6895276308059692,788,23.61323356628418,0.0,55.5625,889,21,-59.6335990625,-21.700809478759766,16,0.0005,41
-1.4736056327819824,0.569373369216919,1193,14.417269706726074,0.0,64.7,1294,27,-62.32318339999999,-12.515303611755371,20,0.0005,47
-2.8359439373016357,0.38417357206344604,1964,10.182889938354492,0.0,86.04166666666667,2065,34,-70.42388625000001,3.390087127685547,24,0.0005,59
-3.210679054260254,0.33522993326187134,2220,10.708040237426758,0.0,82.89285714285714,2321,36,-70.28922953571428,12.27952766418457,28,0.0005,63
-3.7931528091430664,0.2940512001514435,2471,0.3919222056865692,0.0,80.375,2572,38,-70.19331978125001,45.273902893066406,32,0.0005,67
-2.761775493621826,0.25886210799217224,2715,0.962875485420227,0.0,78.22222222222223,2816,39,-68.95023727777779,37.446556091308594,36,0.0005,71
-4.0381364822387695,0.25116387009620667,2781,2.180908203125,0.0,72.05,2882,39,-66.48200887499999,46.34919738769531,40,0.0005,72
-4.148746967315674,0.23787325620651245,2891,0.5449658632278442,0.0,68.0,2992,40,-64.50153027272727,42.06955337524414,44,0.0005,73
-4.181978702545166,0.22772538661956787,2978,0.40687859058380127,0.0,64.14583333333333,3079,40,-62.57125802083333,40.00141143798828,48,0.0005,75
-3.955158233642578,0.22071219980716705,3042,0.31810081005096436,0.0,60.44230769230769,3143,41,-61.16463271153846,39.7568359375,52,0.0005,76
