train/actor_loss,rollout/ep_len_mean,rollout/success_rate,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/critic_loss,time/total_timesteps,train/n_updates,time/time_elapsed
-82.48748779296875,56.0,0.0,0.9493902921676636,-0.1174483373761177,-43.12078425,4,5,0.0005,142.33448791503906,224,123,39
-35.63154220581055,52.375,0.0,0.8606271147727966,-0.35274073481559753,-41.65391625,8,9,0.0005,36.18037796020508,419,318,44
-106.46773529052734,40.5,0.0,0.8471652269363403,-0.20515021681785583,-38.3524495,12,10,0.0005,248.74853515625,486,385,46
-16.748607635498047,36.0,0.0,0.8167781233787537,-0.6028173565864563,-37.646065625000006,16,11,0.0005,35.03487777709961,576,475,49
-6.445226669311523,45.3,0.0,0.6810356378555298,-1.1201269626617432,-40.335591300000004,20,15,0.0005,14.993327140808105,906,805,58
-23.000667572021484,71.45833333333333,0.0,0.4662914276123047,-1.9810981750488281,-46.114788374999996,24,21,0.0005,9.45913314819336,1715,1614,81
29.970975875854492,122.96428571428571,0.0,0.19124460220336914,-4.9170708656311035,-57.321754535714284,28,26,0.0005,0.32899051904678345,3443,3342,129
30.21669578552246,118.25,0.0,0.16013801097869873,-5.5160675048828125,-56.2986219375,32,27,0.0005,0.26592767238616943,3784,3683,137
31.182579040527344,109.41666666666667,0.0,0.14785385131835938,-5.580872535705566,-53.74630636111111,36,27,0.0005,0.45885661244392395,3939,3838,140
30.21529197692871,101.5,0.0,0.13901616632938385,-5.944586277008057,-51.92175247499999,40,28,0.0005,0.12917551398277283,4060,3959,143
30.43783187866211,94.5,0.0,0.1323293149471283,-6.033689975738525,-50.43513377272727,44,28,0.0005,0.1868005096912384,4158,4057,146
32.05139923095703,92.8125,0.0,0.11439387500286102,-6.07059383392334,-50.227931375,48,29,0.0005,0.8595851063728333,4455,4354,153
29.578628540039062,88.17307692307692,0.0,0.10764693468809128,-6.103890419006348,-49.192738442307686,52,29,0.0005,0.11146950721740723,4585,4484,156
28.31362533569336,84.10714285714286,0.0,0.10177505016326904,-5.355294227600098,-48.06533528571429,56,29,0.0005,0.06298710405826569,4710,4609,159
28.912506103515625,80.21666666666667,0.0,0.09720166772603989,-5.834592819213867,-47.129532266666665,60,29,0.0005,0.07876848429441452,4813,4712,161
31.547508239746094,76.859375,0.0,0.09266603738069534,-6.0097455978393555,-46.451634328124996,64,29,0.0005,0.5628668665885925,4919,4818,164
32.76190185546875,73.86764705882354,0.0,0.08825772255659103,-6.602838516235352,-45.69522764705882,68,30,0.0005,0.5594555139541626,5023,4922,166
30.78394317626953,71.06944444444444,0.0,0.0845714658498764,-6.361751556396484,-45.007747583333334,72,30,0.0005,0.2243712842464447,5117,5016,169
31.2564697265625,68.42105263157895,0.0,0.08144242316484451,-6.387029647827148,-44.42409668421053,76,30,0.0005,0.4199766516685486,5200,5099,171
31.013498306274414,65.8,0.0,0.07914429903030396,-5.8322038650512695,-43.82306545,80,30,0.0005,0.11290045082569122,5264,5163,172
31.206546783447266,64.03571428571429,0.0,0.07515142858028412,-6.2696380615234375,-43.44613204761905,84,30,0.0005,0.6038691997528076,5379,5278,175
30.203462600708008,63.63636363636363,0.0,0.06855367124080658,-5.321992874145508,-43.40108954545454,88,30,0.0005,0.29991453886032104,5600,5499,180
29.9254093170166,62.07608695652174,0.0,0.06551221013069153,-6.095621109008789,-43.02081398913043,92,31,0.0005,0.27904874086380005,5711,5610,183
29.829864501953125,60.541666666666664,0.0,0.06289321929216385,-5.663753986358643,-42.722772541666664,96,31,0.0005,0.045127153396606445,5812,5711,185
29.962718963623047,58.84,0.0,0.061059173196554184,-5.3237128257751465,-42.30707082,100,31,0.0005,0.2810665965080261,5884,5783,187
30.312549591064453,57.23,0.0,0.05956359580159187,-5.029609680175781,-41.88652276,104,31,0.0005,0.23371823132038116,5947,5846,189
29.41448211669922,55.98,0.0,0.05797464773058891,-5.908020973205566,-41.575294539999994,108,31,0.0005,0.2000037282705307,6017,5916,190
28.82834243774414,55.85,0.0,0.05672556906938553,-4.954818248748779,-41.46961128000001,112,31,0.0005,0.2988518178462982,6071,5970,190
29.431285858154297,55.5,0.0,0.055524397641420364,-5.0214033126831055,-41.258582770000004,116,31,0.0005,0.427354633808136,6126,6025,191
30.085914611816406,53.87,0.0,0.05217175930738449,-5.187161922454834,-40.67746630999999,120,32,0.0005,0.279672771692276,6293,6192,194
29.28449249267578,46.31,0.0,0.051171548664569855,-4.9757513999938965,-38.84165351,124,32,0.0005,0.24863497912883759,6346,6245,194
29.527099609375,30.33,0.0,0.04879629611968994,-5.065425872802734,-35.36901352,128,32,0.0005,0.35539257526397705,6476,6375,196
29.33528709411621,28.0,0.0,0.04689621552824974,-5.062697410583496,-34.88084154,132,33,0.0005,0.1319941133260727,6584,6483,198
28.49027442932129,26.95,0.0,0.04601588100194931,-4.236946105957031,-34.72427254,136,33,0.0005,0.128327876329422,6634,6533,199
28.89472770690918,26.25,0.0,0.04516769200563431,-4.3715901374816895,-34.53050146,140,33,0.0005,0.09352031350135803,6685,6584,199
29.475704193115234,25.87,0.0,0.044175948947668076,-4.299860954284668,-34.251358499999995,144,33,0.0005,0.12250898778438568,6745,6644,200
28.85730743408203,23.38,0.0,0.0434362031519413,-4.3973917961120605,-33.57465768999999,148,33,0.0005,0.13903212547302246,6793,6692,201
29.01291847229004,22.55,0.0,0.04269271343946457,-4.914162635803223,-33.326135269999995,152,33,0.0005,0.24316057562828064,6840,6739,202
28.519733428955078,22.12,0.0,0.04141481593251228,-4.23634147644043,-33.31298212,156,34,0.0005,0.3074820041656494,6922,6821,203
28.69315528869629,21.55,0.0,0.04072728753089905,-3.801077365875244,-33.19104769,160,34,0.0005,0.08750136196613312,6968,6867,203
29.135953903198242,21.39,0.0,0.03943141549825668,-4.241109848022461,-33.08353923,164,34,0.0005,0.08503542840480804,7058,6957,205
29.301355361938477,20.99,0.0,0.03851933032274246,-4.925520896911621,-32.82485156999999,168,34,0.0005,0.24757713079452515,7122,7021,206
28.59546661376953,20.69,0.0,0.03763846680521965,-3.9479284286499023,-32.632358970000006,172,34,0.0005,0.08738327771425247,7186,7085,207
28.498600006103516,20.42,0.0,0.03692638874053955,-5.235945701599121,-32.42715948000001,176,34,0.0005,0.1350555121898651,7242,7141,207
27.775516510009766,20.33,0.0,0.03620998561382294,-3.388713836669922,-32.36797798,180,34,0.0005,0.06802179664373398,7297,7196,208
28.483402252197266,19.75,0.0,0.035518765449523926,-4.590936660766602,-32.15424435,184,35,0.0005,0.22863361239433289,7354,7253,209
28.22795867919922,18.05,0.0,0.0349157378077507,-3.29335880279541,-31.557321430000005,188,35,0.0005,0.0798184722661972,7405,7304,210
29.226835250854492,17.68,0.0,0.03403633087873459,-5.580019474029541,-31.39190859,192,35,0.0005,0.2521474361419678,7479,7378,211
28.11007308959961,17.13,0.0,0.03352173790335655,-3.0928592681884766,-31.21326064,196,35,0.0005,0.07848356664180756,7525,7424,212
28.635929107666016,16.95,0.0,0.03295862674713135,-3.927903175354004,-31.193256119999997,200,35,0.0005,0.09983371943235397,7579,7478,212
27.858091354370117,17.09,0.0,0.03214526176452637,-3.6009879112243652,-31.08075934,204,35,0.0005,0.32486897706985474,7656,7555,213
27.830472946166992,17.14,0.0,0.03137453272938728,-3.3988680839538574,-30.93187332,208,35,0.0005,0.0629657730460167,7731,7630,215
28.227310180664062,17.19,0.0,0.030855858698487282,-2.6450071334838867,-30.831495949999997,212,36,0.0005,0.046360187232494354,7790,7689,215
27.66512107849121,17.5,0.0,0.03015577793121338,-1.8410223722457886,-30.89419389,216,36,0.0005,0.16131868958473206,7876,7775,217
27.590145111083984,16.77,0.0,0.029378239065408707,-3.885067939758301,-30.727737460000007,220,36,0.0005,0.17217618227005005,7970,7869,218
27.840776443481445,16.69,0.0,0.029022391885519028,-2.9316892623901367,-30.786453960000003,224,36,0.0005,0.17642048001289368,8015,7914,219
28.045276641845703,15.92,0.0,0.028556279838085175,-3.1312029361724854,-30.32692431,228,36,0.0005,0.48270007967948914,8068,7967,220
27.72991180419922,15.35,0.0,0.028111444786190987,-2.6867446899414062,-29.931419260000002,232,36,0.0005,0.666368305683136,8119,8018,220
27.22964859008789,15.57,0.0,0.027495235204696655,-2.064603328704834,-29.949331280000003,236,36,0.0005,0.1548454761505127,8191,8090,221
27.17229461669922,15.94,0.0,0.0269096028059721,-2.431614398956299,-29.995558329999994,240,37,0.0005,0.26497671008110046,8279,8178,223
27.80208969116211,16.19,0.0,0.02627371810376644,-2.6970510482788086,-30.07226357,244,37,0.0005,0.8179364800453186,8364,8263,224
26.715808868408203,16.27,0.0,0.025811485946178436,-2.0815863609313965,-30.035473979999995,248,37,0.0005,0.28867408633232117,8420,8319,225
27.972875595092773,16.62,0.0,0.02506430633366108,-3.109142303466797,-30.047106009999997,252,37,0.0005,0.10448823869228363,8502,8401,226
28.252002716064453,16.46,0.0,0.024469656869769096,-3.04435396194458,-29.906892529999997,256,37,0.0005,0.4383976459503174,8568,8467,227
28.53080940246582,16.62,0.0,0.0239418875426054,-1.4135801792144775,-29.97057058,260,37,0.0005,0.2541825771331787,8630,8529,228
27.962844848632812,16.4,0.0,0.02343716472387314,-2.795593500137329,-29.885091120000002,264,37,0.0005,0.3594542145729065,8698,8597,229
27.159305572509766,16.25,0.0,0.023051239550113678,-3.4321489334106445,-29.998095560000003,268,38,0.0005,0.31838318705558777,8747,8646,229
27.93088722229004,16.1,0.0,0.02274685725569725,-1.7375211715698242,-30.037221770000006,272,38,0.0005,0.09803266078233719,8796,8695,230
28.072425842285156,16.09,0.0,0.022428713738918304,-1.915937900543213,-30.065097639999998,276,38,0.0005,0.5963952541351318,8851,8750,231
28.32330322265625,16.27,0.0,0.021937167271971703,-2.864189386367798,-30.051152990000002,280,38,0.0005,0.08380571007728577,8924,8823,232
27.887598037719727,16.32,0.0,0.021534612402319908,-1.3428765535354614,-29.97997073,284,38,0.0005,0.07631290704011917,8986,8885,233
27.29827117919922,16.32,0.0,0.021252136677503586,-1.1568434238433838,-29.969931740000003,288,38,0.0005,0.2205810248851776,9037,8936,234
27.787384033203125,16.14,0.0,0.021027350798249245,-2.1897268295288086,-29.81895986,292,38,0.0005,0.28335845470428467,9093,8992,234
27.31989097595215,16.28,0.0,0.02070087194442749,0.02821919322013855,-29.76992793999999,296,38,0.0005,0.13923455774784088,9153,9052,235
27.97115707397461,16.35,0.0,0.020383452996611595,-1.887425184249878,-29.608873559999996,300,38,0.0005,0.09655217826366425,9214,9113,236
28.782997131347656,16.15,0.0,0.02013922668993473,-2.995522975921631,-29.528963449999996,304,39,0.0005,0.1851503998041153,9271,9170,237
27.810100555419922,15.92,0.0,0.019944392144680023,-2.3889546394348145,-29.52728305,308,39,0.0005,0.10494211316108704,9323,9222,238
27.613494873046875,15.82,0.0,0.01970737986266613,-1.2155436277389526,-29.61429795,312,39,0.0005,0.22576290369033813,9372,9271,239
27.598894119262695,15.72,0.0,0.01936526782810688,-2.2599050998687744,-29.46605369,316,39,0.0005,0.1345832496881485,9448,9347,240
27.402708053588867,15.33,0.0,0.019114568829536438,-1.3257472515106201,-29.33972192,320,39,0.0005,0.23906603455543518,9503,9402,240
27.251712799072266,15.66,0.0,0.018689649179577827,-0.8748876452445984,-29.27734561,324,39,0.0005,0.27023229002952576,9581,9480,241
27.97921371459961,15.6,0.0,0.018501663580536842,-1.37848699092865,-29.371174910000004,328,39,0.0005,0.34943896532058716,9628,9527,242
27.151918411254883,15.7,0.0,0.018194781616330147,-0.3789580762386322,-29.41893246,332,39,0.0005,0.37316545844078064,9689,9588,243
27.09210968017578,15.46,0.0,0.018055841326713562,-0.6138863563537598,-29.400492170000003,336,39,0.0005,0.11231891810894012,9737,9636,244
