train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/episodes,train/n_updates,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/learning_rate,rollout/success_rate,time/fps,rollout/ep_rew_mean,train/critic_loss
0.9389523863792419,57.75,-22.81005096435547,4,130,231,-0.1739324927330017,46,0.0005,0.0,5,-61.70616175000001,13.440560340881348
0.9105451107025146,39.125,-160.05801391601562,8,212,313,-0.09961532056331635,48,0.0005,0.0,6,-54.358366375,514.0908813476562
0.9022164940834045,30.25,-74.19817352294922,12,262,363,-0.20941181480884552,49,0.0005,0.0,7,-50.79028791666667,466.8616027832031
0.8111139535903931,37.25,-53.82207107543945,16,495,596,-0.4835624396800995,55,0.0005,0.0,10,-52.09438175,73.73485565185547
0.67942875623703,48.45,-27.932697296142578,20,868,969,-0.9407507181167603,64,0.0005,0.0,15,-55.00758525,8.37525749206543
0.4344528019428253,74.75,42.11135482788086,24,1693,1794,-2.597681999206543,84,0.0005,0.0,21,-65.21245420833334,0.5717927813529968
0.3878145217895508,71.03571428571429,33.59624481201172,28,1888,1989,-2.9991116523742676,89,0.0005,0.0,22,-63.18018671428571,0.6115952134132385
0.34710192680358887,68.40625,32.14392852783203,32,2088,2189,-3.287522315979004,94,0.0005,0.0,23,-62.789487718749996,0.8734807372093201
0.3284260034561157,63.666666666666664,33.83771514892578,36,2191,2292,-3.2710695266723633,97,0.0005,0.0,23,-61.21697899999999,0.719428300857544
0.3095354437828064,60.15,34.2972412109375,40,2305,2406,-3.5668997764587402,100,0.0005,0.0,23,-59.94812165,1.3362085819244385
0.28581616282463074,58.34090909090909,31.583229064941406,44,2466,2567,-3.4089202880859375,104,0.0005,0.0,24,-59.04351893181818,0.6709959506988525
0.2589928209781647,57.833333333333336,33.44841766357422,48,2675,2776,-3.5690016746520996,110,0.0005,0.0,25,-58.888564145833335,0.5136054158210754
0.24549661576747894,55.61538461538461,34.76428985595703,52,2791,2892,-3.840005874633789,114,0.0005,0.0,25,-58.069045557692306,0.3950565457344055
0.23302464187145233,53.642857142857146,36.36709213256836,56,2903,3004,-3.862295150756836,117,0.0005,0.0,25,-57.28520117857142,0.2322433888912201
0.21556442975997925,52.766666666666666,39.4213752746582,60,3065,3166,-4.299867630004883,121,0.0005,0.0,26,-56.82996738333333,0.7283111810684204
0.209199920296669,50.421875,38.73448944091797,64,3126,3227,-4.299810409545898,122,0.0005,0.0,26,-55.642349531250005,1.990667462348938
0.19736172258853912,49.19117647058823,38.434139251708984,68,3244,3345,-4.407352924346924,125,0.0005,0.0,26,-55.31658838235295,0.23446975648403168
0.18931925296783447,47.638888888888886,39.777244567871094,72,3329,3430,-4.397395610809326,128,0.0005,0.0,26,-54.59767523611111,0.5462290048599243
0.1799778789281845,46.51315789473684,39.19639587402344,76,3434,3535,-4.674131870269775,130,0.0005,0.0,27,-54.11151718421053,0.138433575630188
0.17156982421875,45.45,38.51124954223633,80,3535,3636,-4.267401695251465,133,0.0005,0.0,27,-53.551219025,0.16250863671302795
0.16654112935066223,44.04761904761905,38.28013229370117,84,3599,3700,-4.282445907592773,134,0.0005,0.0,27,-52.978814833333324,0.6071572303771973
0.16180908679962158,42.76136363636363,38.543357849121094,88,3662,3763,-4.268702030181885,136,0.0005,0.0,27,-52.23636461363637,0.2026366889476776
0.15728841722011566,41.58695652173913,37.13103485107422,92,3725,3826,-4.429629802703857,138,0.0005,0.0,27,-51.783813163043476,0.19686734676361084
0.15304817259311676,40.5,38.673927307128906,96,3787,3888,-4.441492080688477,139,0.0005,0.0,27,-51.31437859375001,0.4670591652393341
0.14835596084594727,39.57,37.27138137817383,100,3856,3957,-4.576836109161377,141,0.0005,0.0,27,-50.751755030000005,0.8439127802848816
0.14365264773368835,38.0,36.6544189453125,104,3930,4031,-4.254565238952637,143,0.0005,0.0,28,-49.95391434000001,0.15691803395748138
0.13970236480236053,37.83,36.55382537841797,108,3995,4096,-4.291372299194336,145,0.0005,0.0,28,-49.702144669999996,0.2973560690879822
0.13582003116607666,37.98,36.760799407958984,112,4060,4161,-4.3685455322265625,147,0.0005,0.0,28,-49.362754970000005,0.2792857885360718
0.13248544931411743,36.23,36.97544860839844,116,4118,4219,-4.613962173461914,148,0.0005,0.0,28,-48.718148170000006,0.29849517345428467
0.12926693260669708,33.08,37.35431671142578,120,4176,4277,-4.349645614624023,149,0.0005,0.0,28,-47.726984949999995,0.7294173240661621
0.12631168961524963,25.38,37.89454650878906,124,4231,4332,-4.54910135269165,151,0.0005,0.0,28,-44.76479392000001,0.16127879917621613
0.12340328842401505,24.01,36.951438903808594,128,4289,4390,-4.381417274475098,152,0.0005,0.0,28,-44.234288289999995,0.24682459235191345
0.12036539614200592,22.64,37.45920181274414,132,4352,4453,-4.699150562286377,154,0.0005,0.0,28,-43.51858776000001,1.4784479141235352
0.11733422428369522,22.24,35.47004699707031,136,4415,4516,-3.7850303649902344,155,0.0005,0.0,28,-43.00071813999999,0.1458122432231903
0.11457029730081558,21.68,36.38750457763672,140,4473,4574,-4.162720680236816,157,0.0005,0.0,29,-42.61791371,0.14338573813438416
0.11177551746368408,20.7,36.52066421508789,144,4536,4637,-4.025781631469727,158,0.0005,0.0,29,-42.063831670000006,0.3588786721229553
0.10929766297340393,19.17,36.36369323730469,148,4592,4693,-3.7328941822052,160,0.0005,0.0,29,-41.43121179,0.2856377959251404
0.10681550949811935,18.62,36.61124038696289,152,4653,4754,-3.8387503623962402,161,0.0005,0.0,29,-41.05523088999999,0.1465381681919098
0.1045341044664383,18.07,35.49512481689453,156,4710,4811,-3.7845020294189453,163,0.0005,0.0,29,-40.760476399999995,0.47827374935150146
0.10212986171245575,17.04,33.82282638549805,160,4769,4870,-3.2172882556915283,164,0.0005,0.0,29,-40.20637145,0.2706547975540161
0.09987588226795197,17.02,34.69636535644531,164,4828,4929,-3.1407060623168945,166,0.0005,0.0,29,-40.187970330000006,0.6972088813781738
0.0969913974404335,16.59,34.75409698486328,168,4903,5004,-0.35622918605804443,168,0.0005,0.0,29,-39.64719258,0.4536950886249542
