train/ent_coef_loss,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,rollout/success_rate
-0.07801733911037445,-87.88667297363281,229.85995483398438,-50.414951249999994,4,0.949469268321991,56.25,124,4,225,47,0.0005,0.0
-0.3812270164489746,-29.002155303955078,43.54181671142578,-46.08549375,7,0.8838692307472229,46.375,270,8,371,51,0.0005,0.0
-0.30530300736427307,-38.098045349121094,20.7657413482666,-43.7550775,8,0.847239077091217,38.083333333333336,356,12,457,54,0.0005,0.0
-0.5630525350570679,-9.443802833557129,26.10794448852539,-42.0765806875,9,0.8156033158302307,33.875,441,16,542,56,0.0005,0.0
-0.8781296014785767,-2.8506014347076416,27.103443145751953,-42.0288681,11,0.7572744488716125,34.2,583,20,684,60,0.0005,0.0
-1.7433393001556396,-13.301273345947266,28.976730346679688,-52.07055591666667,17,0.5444315075874329,56.125,1246,24,1347,78,0.0005,0.0
-3.329496383666992,-1.4113292694091797,0.8777568936347961,-62.264455535714276,21,0.346626877784729,79.78571428571429,2133,28,2234,102,0.0005,0.0
-3.6208114624023438,16.260868072509766,0.9980469942092896,-62.878098125,23,0.28607067465782166,81.25,2499,32,2600,112,0.0005,0.0
-3.625748634338379,29.132766723632812,0.7595459222793579,-62.093265388888895,23,0.255632221698761,78.69444444444444,2732,36,2833,119,0.0005,0.0
-4.047696590423584,33.43135070800781,0.5010308027267456,-60.10469095,24,0.23982129991054535,74.225,2868,40,2969,123,0.0005,0.0
-4.1342058181762695,37.25335693359375,0.6690590381622314,-57.94213675,24,0.22992929816246033,69.47727272727273,2956,44,3057,125,0.0005,0.0
-4.4541168212890625,33.70722198486328,0.6743912696838379,-57.222078145833336,25,0.20430606603622437,68.77083333333333,3200,48,3301,131,0.0005,0.0
-4.7866010665893555,34.057334899902344,0.2975160479545593,-55.66085746153847,25,0.1951444000005722,65.3076923076923,3295,52,3396,134,0.0005,0.0
-4.495668411254883,35.83781433105469,0.887003481388092,-54.219741392857145,25,0.1864250898361206,62.339285714285715,3390,56,3491,136,0.0005,0.0
-4.626875400543213,35.07450866699219,0.12039190530776978,-53.08548746666666,25,0.1801026165485382,59.4,3463,60,3564,137,0.0005,0.0
-4.826923847198486,34.767601013183594,0.4234219789505005,-52.044749359375,26,0.17417879402637482,56.796875,3534,64,3635,139,0.0005,0.0
-4.740460395812988,33.54145812988281,0.13462316989898682,-51.1723459117647,26,0.16599096357822418,54.955882352941174,3636,68,3737,141,0.0005,0.0
-5.034239768981934,35.04597473144531,0.10185454785823822,-50.68292906944444,26,0.15720894932746887,53.52777777777778,3753,72,3854,144,0.0005,0.0
-4.740475654602051,35.9627571105957,0.16352002322673798,-50.39280671052631,27,0.14799034595489502,52.4078947368421,3882,76,3983,147,0.0005,0.0
-4.852654457092285,35.725494384765625,0.681542694568634,-50.288826462500005,27,0.13217975199222565,52.8625,4128,80,4229,153,0.0005,0.0
