rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/ent_coef,time/total_timesteps,train/actor_loss,time/time_elapsed,rollout/success_rate,time/episodes,train/n_updates
56.25,229.85995483398438,0.0005,-0.07801733911037445,-50.414951249999994,7,0.949469268321991,225,-87.88667297363281,30,0.0,4,124
46.375,43.54181671142578,0.0005,-0.3812270164489746,-46.08549375,11,0.8838692307472229,371,-29.002155303955078,32,0.0,8,270
38.083333333333336,20.7657413482666,0.0005,-0.30530300736427307,-43.7550775,13,0.847239077091217,457,-38.098045349121094,33,0.0,12,356
33.875,26.10794448852539,0.0005,-0.5630525350570679,-42.0765806875,15,0.8156033158302307,542,-9.443802833557129,35,0.0,16,441
34.2,27.103443145751953,0.0005,-0.8781296014785767,-42.0288681,18,0.7572744488716125,684,-2.8506014347076416,37,0.0,20,583
56.125,28.976730346679688,0.0005,-1.7433393001556396,-52.07055591666667,29,0.5444315075874329,1347,-13.301273345947266,45,0.0,24,1246
79.78571428571429,0.8777568936347961,0.0005,-3.329496383666992,-62.264455535714276,37,0.346626877784729,2234,-1.4113292694091797,59,0.0,28,2133
81.25,0.9980469942092896,0.0005,-3.6208114624023438,-62.878098125,39,0.28607067465782166,2600,16.260868072509766,65,0.0,32,2499
78.69444444444444,0.7595459222793579,0.0005,-3.625748634338379,-62.093265388888895,41,0.255632221698761,2833,29.132766723632812,68,0.0,36,2732
74.225,0.5010308027267456,0.0005,-4.047696590423584,-60.10469095,41,0.23982129991054535,2969,33.43135070800781,70,0.0,40,2868
69.47727272727273,0.6690590381622314,0.0005,-4.1342058181762695,-57.94213675,42,0.22992929816246033,3057,37.25335693359375,72,0.0,44,2956
68.77083333333333,0.6743912696838379,0.0005,-4.4541168212890625,-57.222078145833336,43,0.20430606603622437,3301,33.70722198486328,76,0.0,48,3200
65.3076923076923,0.2975160479545593,0.0005,-4.7866010665893555,-55.66085746153847,43,0.1951444000005722,3396,34.057334899902344,77,0.0,52,3295
