idx,Run0
0,-108.27919838606506
10000,-31.313679997083966
20000,-32.910510119892685
30000,-32.38687684316686
40000,-32.156769220978425
50000,-31.320904153169472
60000,-30.20543010151226
70000,-29.13647899127843
80000,-22.674583307891037
90000,-20.873691642976855
100000,-16.88050934787653
110000,-23.965305150357853
120000,-17.285927672174612
130000,-25.759113401858727
140000,-21.27803170838807
150000,-15.704919681996005
160000,-22.114063077067115
170000,-23.813470345708744
180000,-29.478151264074793
190000,-25.237143822082558
200000,-19.35262664143856
210000,-21.442484193799327
220000,-21.945936718235398
230000,-24.660297144111766
240000,-13.667869061825138
250000,-20.12373869495244
260000,-35.1262462047471
270000,-19.905580769128846
280000,-13.393243376300353
290000,-15.238087204290482
300000,-23.847817141486317
310000,-17.07266017887904
320000,-14.219881967440793
330000,-22.661584205113517
340000,-14.112281660922102
350000,-14.863879778880143
360000,-19.069415595105816
370000,-31.467280806023005
380000,-11.103486172091928
390000,-11.692708668933005
400000,-15.02281595813709
410000,-13.587394695323576
420000,-15.580828054073589
430000,-12.61862857743694
440000,-22.130389767758157
450000,-7.884989767011206
460000,-16.79997046501826
470000,-11.715979804108908
480000,-20.17285408463493
490000,-16.231094182193832
500000,-15.84123332793081
