idx,Run0
0,-164.4998113928972
10000,-40.9270468134952
20000,-48.884682109359375
30000,-51.71539998627938
40000,-51.186717012577425
50000,-46.81516745565179
60000,-45.08376043435549
70000,-38.614570686699636
80000,-38.549326912851164
90000,-42.511063990354764
100000,-48.74780669656865
110000,-40.721203065145275
120000,-43.482407792760306
130000,-42.39149312803276
140000,-46.30711598313054
150000,-42.638414268867294
160000,-40.10403348333317
170000,-41.505403804915595
180000,-40.943071813156955
190000,-47.9238302727153
200000,-43.435516953368534
210000,-44.81574576211492
220000,-49.96163450067961
230000,-38.425327024124755
240000,-41.28653026129049
250000,-43.2040692352112
260000,-40.05842293325047
270000,-39.893323110149325
280000,-42.27628492770295
290000,-42.83723855971032
300000,-45.47292418237696
310000,-44.499610922463994
320000,-42.37862426756466
330000,-46.12191033064813
340000,-42.43869308703543
350000,-46.45304698473346
360000,-44.58536107976788
370000,-38.691914854838565
380000,-52.1975573263833
390000,-43.70448309548666
400000,-46.47871830413966
410000,-46.083100110454794
420000,-40.59944837454955
430000,-47.62305319096184
440000,-45.966370034076064
450000,-45.47470917683172
460000,-44.85560434474016
470000,-48.88575351240335
480000,-47.67224682494715
490000,-40.12762135525221
500000,-41.439796450393004
