idx,Run0,Run1,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32
0,-237.95323095447972,-272.207488446732,-197.23823962882645,-190.09186251151917,-229.22683989342747,-279.6358208059582,-232.91566692102876,-222.70186943062453,-268.1282366826927,-224.8392231550427,-279.69811838606927,-301.7908300145182,-260.0243999898315,-177.95849876362527,-225.54505980849385,-286.40518190233814,-240.90229127983775,-274.6364529674789,-306.5435768252277,-249.4077960127966,-223.30601259778996,-246.23836396032706,-202.48904358803603,-224.3821436594024,-211.29209382847108,-199.25313839632508,-209.0508099795863,-222.15357081396573,-202.9965919018336,-254.97760869166626,-151.5807578804816,-203.5805978549015
10000,-162.90416011094624,-125.77077097986391,-139.9683889382569,-109.66305388476425,-192.85148910642536,-104.10153527347364,-137.00024906976566,-166.26479033480865,-96.00613698291266,-61.90888827758977,-89.02545171928703,-142.83460669752964,-177.7007672817115,-152.5289868332057,-53.306008712258034,-252.47957830662395,-129.75316977587815,-155.3003884592873,-183.49301175442218,-190.33041258636737,-70.4348414278356,-52.61185207376107,-191.98064689148532,-84.1451453749631,-162.4921632686981,-99.16852263669576,-147.3442389077416,-85.61109048298017,-56.80728549196367,-240.55398142231843,-177.598608295869,-118.46889840859063
20000,-262.62210007872875,-153.28087278081316,-158.11881984800277,-51.91108969722474,-167.0075795312704,-100.74580066220558,-201.08236410861895,-157.94787242076669,-184.43023527503925,-43.643382863169485,-160.7719477206656,-184.5139246636357,-220.65103460292306,-139.37385832467146,-45.5798198370296,-246.97532477836688,-132.11121489716612,-250.90231959207347,-166.79500011646047,-258.15946736145594,-48.75824990705903,-44.82391469779831,-55.814401925029664,-48.16940853485973,-49.79954331439319,-42.64770382055316,-65.41510862429443,-58.746936840158945,-48.101271511287706,-103.05687220019881,-149.63641196393556,-184.49780648371632
30000,-196.16281596019235,-114.01459712637046,-96.37960218688856,-47.803462680989824,-181.15935341506534,-124.96786424283529,-209.26173308454906,-270.10438009103143,-197.28322064611294,-43.987843940986174,-169.3339419607546,-168.2861803105173,-78.2717546461096,-181.00624881043152,-44.005905737124415,-249.83413312512755,-96.78866828877497,-264.8139556674576,-116.75003675087608,-249.57330106074397,-48.64313393708889,-44.443158213959954,-48.898518542486904,-45.039082261001944,-46.42855342797195,-42.36905202399195,-46.97959261529465,-46.94408577519159,-47.45433810782215,-46.45654973272931,-95.09636310166258,-254.07087946317264
40000,-222.09373121447555,-163.71335131384578,-125.9307998854783,-46.43845446440957,-204.89283907641857,-87.32212848465971,-186.73947828290503,-207.85248148653326,-219.11066837508167,-43.17616868734519,-99.66926956217046,-139.3596784627025,-51.39950225986551,-148.44072630336677,-44.34981129957033,-261.85651201004464,-94.64901660371972,-227.67099079436517,-253.37707246648682,-249.80018847568124,-47.08535565670153,-40.562691165933444,-48.143789007820736,-46.77345640467912,-45.932576581696615,-41.41250037051855,-44.67957792297459,-45.32308886501151,-46.8099569634953,-45.400635889960924,-56.225994701335274,-244.92006479686776
50000,-246.6705406688129,-126.55654149174453,-115.11751087872898,-46.285513268478915,-234.00719839041693,-133.32420286808653,-150.606729325173,-196.75133212097683,-207.6534149758889,-42.564276574047405,-118.48278314982144,-212.05377922173244,-44.0753466023366,-203.5155519488347,-43.05665291467393,-240.35268554391024,-95.79893695098147,-236.9263679258505,-131.28174997061151,-257.2280806886602,-46.19890637394522,-40.25910486759711,-46.82835583547339,-44.983378386485164,-44.61692553059871,-39.02076211103613,-44.32269841629861,-45.09824027790589,-46.87244895046542,-45.74148997010022,-49.77397520169167,-245.64173118560595
60000,-251.79874774071922,-158.60922936440647,-173.88981739249002,-44.93941126095583,-269.1959659545598,-148.63366896384878,-86.40176083939238,-188.96004044052808,-247.88708313292787,-42.69899032050524,-90.56815638776924,-196.172836988984,-43.156691213618366,-159.5486192921129,-43.60191138566925,-268.8612285734491,-83.86400853485208,-234.91604250097396,-171.64180463268164,-230.45116494978578,-46.06450148889543,-38.575246428165634,-45.321427559556085,-46.651422917140756,-44.99333220324817,-39.09985272694963,-44.207640915115554,-45.35504053932519,-45.68548907294835,-46.27453379322698,-48.70054808102995,-191.4548189431014
70000,-243.26468971829806,-106.58977808490786,-229.95657838407274,-44.940123266361894,-290.8194603503065,-137.02376547878927,-50.254645431322274,-197.89756264070533,-254.6321741315252,-41.67907658076141,-95.0557899094114,-172.68855828552387,-40.06139334201302,-110.03272888509044,-43.799481170310315,-181.57371237773344,-94.09484723624392,-207.6640315041953,-244.26330966232328,-228.07236719489364,-46.784445093102065,-33.224022187956756,-44.19834844043729,-44.1432572206263,-42.897968585967504,-33.403558189951816,-44.11242169214494,-45.24075219752617,-45.560859359649434,-44.45218412574822,-47.880731521800065,-158.410817828693
80000,-229.4983668293592,-116.19582274609562,-212.23483208842433,-44.92161682055898,-266.6281311376179,-94.70541957139942,-47.45428212977669,-226.9463373813947,-231.97545794886716,-40.586801672703125,-151.299051774228,-146.73632597570807,-41.62761411594626,-223.54611829099133,-43.30015014615368,-213.77006582718903,-43.29675270864809,-206.18030497441353,-272.5995631092585,-201.89901611946496,-44.78333970045623,-38.622450934857376,-44.65814458437756,-42.82576431633207,-42.156698139391736,-42.485298723575475,-43.65444536270068,-45.20134086786392,-45.78566026154799,-44.84937821624268,-48.24963103774834,-232.56583896197034
90000,-238.21480912598062,-80.82101545193069,-155.62172264571834,-44.80586643111358,-223.34313724412425,-136.4321482967325,-44.39182105043778,-234.59613504604152,-237.02385568731603,-39.18996501993105,-152.51464942529776,-122.7982875077561,-42.40748083043591,-278.51726584579745,-43.34148716407965,-254.70153439636033,-38.877062954755424,-179.03541618430552,-241.89437642691,-185.70912058547913,-44.81141663973286,-37.16334029852912,-44.143650651702515,-41.33566478141461,-43.24243374231034,-39.186688610531775,-42.028935528047995,-44.608640885756934,-44.88635098079268,-45.48634115625319,-47.53660898983531,-199.2146433193115
