idx,Run0,Run1,Run2,Run3,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17
0,-116.4597025969662,-65.80792343019613,-107.4469036801601,-143.73068764620422,-144.52465060132866,-306.6371013427406,-201.89545943466217,-136.19674903878848,-69.74272721676259,-114.83345908822412,-113.64413476939168,-117.03563933389611,-65.62106258074054,-140.50152038296716,-128.81172614473937,-185.74848334785656,-64.3465622468352
10000,-142.41228405292796,-253.99321835624485,-79.4127276245485,-43.54594278252408,-210.718021040965,-45.95883874254969,-48.81382259514457,-280.02439699982705,-264.0648288381889,-178.79450793133165,-164.2010351216256,-103.59104616721493,-255.23889564434978,-193.26830666026862,-86.52033049450698,-173.76496138086117,-147.36382245618077
20000,-233.56803460351787,-301.1888662179443,-66.8905389651202,-43.05360845984593,-268.066713009617,-42.14993887750511,-187.58414980259187,-174.11244511434526,-269.7055249093377,-232.11956792469817,-166.276619120024,-162.06932775434208,-326.4746889731996,-204.30038173709875,-45.01969218571298,-140.67238239774267,-175.56715890112412
30000,-190.12744676658755,-239.69913753309282,-42.64458171130447,-41.10929245944113,-213.22038965393233,-40.73706361110826,-252.90641429163287,-227.9010635397363,-275.8000313114696,-214.0332943973488,-90.5978168882521,-210.5399756244479,-255.62653230298204,-301.81105042111125,-43.2050188552506,-238.73147896689568,-163.3385024260929
40000,-159.0759862524111,-234.30096893235765,-36.39777736105758,-52.75424331401597,-233.33040009611813,-38.007373124027396,-284.23311775881876,-182.6208927023562,-199.3312501166731,-223.10945592350117,-104.43800861782596,-203.91394360129615,-283.3602930491155,-336.6599950509448,-43.90728568618986,-211.35636362675513,-175.4614263796908
50000,-154.03564175960003,-206.54942302239138,-31.2143722116793,-36.238722149842275,-232.9345712415445,-36.661410364527434,-311.30746573049265,-195.70546615070174,-201.47651311499675,-208.84984199411397,-216.96000603257218,-197.696183528656,-243.3926663176382,-300.5411016031155,-42.0047367816689,-250.38135911743467,-178.69210895856494
60000,-200.83066203141334,-190.24731440872836,-28.769517802280625,-31.457063253763966,-210.61535195733217,-36.04258272700222,-189.86344794371334,-182.7185899782188,-193.04908251604806,-180.19179799119448,-201.24768367679383,-167.24824081378878,-301.4602172027076,-214.39516487224935,-38.54754009365908,-209.16497025702586,-166.7639399628287
70000,-180.7554482515674,-261.18447259633365,-34.55970780051691,-21.415527510147008,-194.458597903218,-36.4357229468693,-121.6886737350563,-121.0143487344673,-196.19621469182613,-174.67775752861778,-226.11802974434082,-234.98183105624696,-302.2511394396043,-210.92342949897363,-40.04093773894687,-229.77823087044766,-166.8731776420522
80000,-205.066199370367,-200.91786215251668,-21.46215590803926,-26.99778024276009,-239.97756807978854,-28.769627060185037,-254.05164670519903,-127.34284013892561,-228.8784612782697,-209.18993436691665,-171.92374446403332,-188.32935806410435,-284.5661688346465,-290.91754441805523,-39.59839361582117,-231.68232916231852,-187.41340075941636
90000,-184.33757361915409,-206.75954430263621,-70.54517045684685,-23.882604204349395,-251.2647885578114,-28.99859711249114,-275.5119397638208,-136.583810765658,-203.6155206437262,-208.26354628622755,-243.29826550259588,-226.98401255092446,-232.99706784385782,-301.71191694738235,-40.59209445692417,-265.15673014247,-180.81523790463592
100000,-185.67849758203337,-184.6403541139562,-19.28468602341458,-18.881161843963643,-241.0605807406373,-29.693744383445992,-176.45256577818705,-177.89576214919424,-232.46390662511305,-190.33770654324678,-217.1719794520847,-169.04583803356797,-322.34910787894205,-268.0623660595372,-39.63630480468226,-240.95308069421117,-158.59068582115214
110000,-182.4917635664929,-245.24624548714434,-21.220436720882837,-31.28962683962902,-251.68521160887948,-28.68523871245389,-203.77348294757184,-139.17835927764463,-194.55387667084253,-200.27707974630323,-223.902663554949,-242.83152475860075,-283.7336465257692,-196.732331685259,-38.17776701633355,-182.04504887767206,-147.5480028807529
120000,-189.3106117592636,-216.47530194376455,-18.206373654889042,-25.626876059769984,-242.46638308242402,-23.545928485539186,-253.32704825360653,-135.8780722580477,-197.98870982110358,-212.9605148118489,-236.69163551577347,-165.3300686764373,-308.1901639420768,-182.73501508563172,-36.64048469344081,-235.5333164391118,-178.07930512979954
130000,-191.3077376224788,-206.51504453985618,-15.067156064000423,-15.27390275084676,-223.3137604919314,-19.7014861955541,-254.01827936372055,-144.52427088105162,-189.87321703640362,-231.4993057644576,-288.6835785790741,-179.32364053247733,-250.8751002531145,-246.3200242991785,-35.567318820183154,-175.54040712053225,-139.68927684956742
140000,-188.6340990156923,-207.74516764716242,-18.707272498430576,-17.852015826907138,-199.21923331180926,-21.68185369000072,-164.03640534014497,-144.36412133855856,-210.3358396251716,-209.97428279656444,-236.97632213398984,-235.84452692577298,-237.50194808976275,-201.06551919990804,-34.33070928849429,-221.1150608514887,-180.1331283546246
150000,-166.91741232809235,-197.3168042422372,-16.385470149711605,-21.0570851238875,-250.28657225018836,-13.64959375017104,-263.18222850695935,-216.1790659676212,-196.757712820432,-210.34671351237932,-258.4239171355506,-132.07049337357978,-231.0308266609822,-198.75256836827768,-36.817806609034285,-240.20482481129338,-138.27243132590885
160000,-162.80316784152663,-194.20415797233497,-15.990809080527578,-13.941126856540794,-237.724280224958,-15.832688272467557,-247.26776890603196,-165.62508980725994,-195.18144156259558,-176.19899266751082,-270.1065219235256,-176.06888333333197,-281.11754364290846,-117.35605901555421,-33.8371292421923,-210.07850038044717,-156.80807744405757
170000,-173.7071394876809,-201.80312010737396,-16.667521857403802,-13.934945704131554,-220.49762087865875,-16.36250143843172,-303.41595540296754,-181.71968426670114,-209.76362419784485,-183.19334831164997,-288.28286616718685,-290.5905643481562,-274.34045590275304,-149.11525229369587,-31.298445646511343,-235.60284902542622,-174.89140616040646
180000,-175.96031991981775,-184.14617005639008,-16.382938882902938,-13.663737472622342,-227.59784047398432,-22.44683005405652,-253.54531392941652,-151.42741950601567,-193.73476310418994,-198.6530170127596,-301.88027012992785,-210.552133423858,-274.8573866626661,-75.74402904357085,-34.47237988703867,-221.2213883367795,-145.80879251852033
190000,-174.68484875902334,-210.0811644791785,-14.45082701912153,-13.484938032759578,-231.0343928423585,-32.69017218415158,-288.7215297798193,-158.68212710909197,-199.88990207125673,-210.3729192961989,-167.20255394096876,-193.3012202281447,-266.3673272616748,-51.55487297384751,-29.865324701050202,-240.66443562358776,-167.71653041115053
200000,-179.85972730727207,-200.12531848992023,-16.092574034325583,-13.505078153239863,-263.63895249601904,-15.480188658680335,-155.37292307220315,-194.21856878502865,-199.05090561920306,-182.65192731804308,-123.23249130274112,-175.67611945851996,-269.4267365903936,-49.917496599774466,-34.67810635492312,-210.26373341671245,-142.74278496847657
210000,-162.60368058163547,-209.5210846294928,-14.216222850726991,-13.356522311188618,-248.2437722576987,-15.400771330360994,-55.647769160725446,-163.23345656763686,-211.21375402863723,-171.66007716437056,-201.20447911276787,-244.0083339539478,-267.4163106221277,-50.22851160278991,-34.47740344497076,-214.77020607261153,-166.52688521615295
220000,-176.72051499430117,-205.94458491604715,-20.65853375712938,-15.299715805362906,-240.64594274713085,-17.226708580046786,-52.93111917067865,-198.10020515617077,-194.32401210278786,-224.27690043569385,-137.70547472726918,-223.83151538206846,-243.50479913297153,-49.46497443472764,-28.883314076096617,-195.56893143641426,-162.74755139922758
230000,-142.21413896584505,-211.28104481587707,-14.245770113400008,-13.35975524076671,-227.48009248680924,-13.803476541816993,-71.66449708518856,-145.56909352578552,-206.08923315392428,-149.46451776804844,-171.4744748564758,-202.58100411114296,-266.381304198892,-49.87194392200083,-36.0028805921593,-218.5355441911315,-162.3196616677736
240000,-153.33626892168792,-174.43146898870046,-14.079326493072456,-13.390832098514437,-205.34002881780296,-18.069184833838925,-80.75154576452731,-129.7568383408708,-207.76919144235757,-191.47953878141647,-194.66330162827464,-148.2624806262123,-244.38603949668357,-49.29957022288166,-29.239007325074205,-183.80185748155935,-158.24091308324947
250000,-176.3108786718212,-172.4772556895546,-13.931265970402478,-15.702180673620218,-233.41910411978697,-13.59760908340632,-286.4673331774686,-199.30734819013057,-201.4015826336744,-173.5421858799604,-177.17357077010786,-213.00659491615235,-222.75668883778042,-49.329290123967915,-35.01038412949096,-211.13088207890794,-162.31587903356387
250000,-177.4466919833859,-172.88212408525015,-13.888240209385488,-15.700675418870619,-234.81831215921372,-13.606196390733887,-286.4133963507084,-199.23529782974586,-201.46339783094467,-173.36031136244085,-188.06870396762932,-212.64955684071518,-222.7834718197929,-49.355869921827356,-34.94490880710938,-211.2185580542182,-162.27272676548765
