idx,Run0,Run1,Run2,Run3,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.33993463423951903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.44221663871405326,0.4229525846816506,0.3,0.0,0.4422166387140533,0.0,0.0,0.24944382578492943,0.4229525846816506,0.48189440982669857,0.49553562491061687,0.4,0.4898979485566357,0.48189440982669857,0.3,0.4955356249106168,0.4955356249106168
20000,0.48989794855663565,0.0,0.33993463423951903,0.0,0.4714045207910316,0.0,0.5,0.5,0.0,0.4229525846816506,0.48189440982669857,0.45825756949558394,0.4714045207910317,0.4955356249106168,0.0,0.48189440982669857,0.4818944098266986
30000,0.48989794855663565,0.5,0.0,0.0,0.42295258468165065,0.0,0.49888765156985887,0.4818944098266986,0.0,0.4229525846816507,0.0,0.4714045207910317,0.4955356249106168,0.3,0.0,0.4000000000000001,0.48989794855663565
40000,0.4818944098266986,0.49553562491061687,0.0,0.0,0.33993463423951903,0.0,0.29999999999999993,0.49888765156985887,0.4818944098266986,0.0,0.0,0.45825756949558394,0.42295258468165065,0.3,0.0,0.4,0.44221663871405337
50000,0.49553562491061687,0.49888765156985887,0.0,0.0,0.24944382578492943,0.0,0.0,0.4229525846816506,0.4422166387140533,0.33993463423951903,0.49888765156985887,0.4955356249106168,0.4898979485566357,0.29999999999999993,0.0,0.4229525846816507,0.44221663871405337
60000,0.24944382578492943,0.4714045207910316,0.0,0.0,0.4229525846816506,0.0,0.48189440982669857,0.4955356249106168,0.4422166387140533,0.4229525846816506,0.49888765156985887,0.48189440982669857,0.4,0.49888765156985887,0.0,0.4818944098266986,0.44221663871405337
70000,0.29999999999999993,0.0,0.0,0.0,0.4955356249106168,0.0,0.37267799624996495,0.44221663871405326,0.4422166387140533,0.4714045207910316,0.48189440982669857,0.4000000000000001,0.0,0.4818944098266986,0.0,0.42295258468165065,0.49553562491061687
80000,0.0,0.4714045207910317,0.0,0.0,0.3,0.0,0.42295258468165065,0.44221663871405326,0.0,0.0,0.44221663871405337,0.49888765156985887,0.3,0.4714045207910317,0.0,0.4229525846816506,0.24944382578492943
90000,0.29999999999999993,0.42295258468165065,0.48189440982669857,0.0,0.4,0.0,0.0,0.42295258468165065,0.33993463423951903,0.0,0.4818944098266986,0.33993463423951903,0.48989794855663565,0.24944382578492943,0.0,0.24944382578492943,0.33993463423951903
100000,0.24944382578492943,0.45825756949558394,0.0,0.0,0.33993463423951903,0.0,0.4955356249106168,0.49888765156985887,0.0,0.24944382578492943,0.4818944098266986,0.4714045207910316,0.0,0.42295258468165065,0.0,0.0,0.3726779962499649
110000,0.4,0.0,0.0,0.3,0.0,0.0,0.4898979485566357,0.5,0.33993463423951903,0.24944382578492943,0.4818944098266986,0.0,0.33993463423951903,0.49888765156985887,0.0,0.44221663871405337,0.48989794855663565
120000,0.0,0.0,0.0,0.0,0.42295258468165065,0.0,0.3,0.45825756949558405,0.33993463423951903,0.0,0.4818944098266986,0.4988876515698589,0.0,0.4955356249106168,0.0,0.29999999999999993,0.29999999999999993
130000,0.4229525846816506,0.33993463423951903,0.0,0.0,0.4229525846816506,0.0,0.3,0.49888765156985887,0.4229525846816507,0.0,0.33993463423951903,0.4714045207910316,0.4229525846816506,0.4,0.0,0.4818944098266986,0.49888765156985887
140000,0.0,0.0,0.0,0.0,0.4818944098266986,0.0,0.4955356249106168,0.4955356249106168,0.0,0.0,0.4714045207910317,0.33993463423951903,0.45825756949558394,0.45825756949558394,0.0,0.4714045207910316,0.0
150000,0.3726779962499649,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.33993463423951903,0.33993463423951903,0.0,0.33993463423951903,0.4714045207910317,0.48989794855663565,0.49888765156985887,0.0,0.0,0.45825756949558394
160000,0.33993463423951903,0.0,0.0,0.0,0.0,0.0,0.4,0.4714045207910316,0.3,0.4229525846816506,0.0,0.49888765156985887,0.0,0.37267799624996495,0.0,0.4422166387140533,0.3726779962499649
170000,0.24944382578492943,0.29999999999999993,0.0,0.0,0.0,0.0,0.0,0.458257569495584,0.0,0.33993463423951903,0.0,0.0,0.0,0.4229525846816506,0.0,0.0,0.24944382578492943
